PhysicalEventID,Year,Irrigation,Rep,Treatment,PredictedVolumeWithCompaction_L,PredictedVolumeWithoutCompaction_L,PairedPredictionDifference_L,PairedPredictionPercentDifference
PE_007bf9724431b43650d7,2025,7,1,ST,48940.3650412892,47121.96792396215,1818.3971173270547,3.7975405390552686
PE_00b38906ec1907c7d0dc,2024,4,1,ST,41717.11389781059,41161.848417570334,555.265480240254,1.3489809170067142
PE_02b42436b7981ca07571,2024,4,2,MT,37866.85867485624,37897.158470485134,-30.29979562889639,-0.07995268471775877
PE_0373cedd6c6b07cdac38,2025,3,1,ST,54980.22467769006,52860.181821337304,2120.0428563527566,4.0104066506189895
PE_0656666c2b33c1a71dfc,2022,3,2,ST,10776.919832282716,10655.409654560372,121.51017772234445,1.1403613907076744
PE_07b0e2786e6c6d7e52f2,2025,S1,2,MT,26580.215866959345,25976.740526810765,603.4753401485796,2.323137267840546
PE_0c2d197a5610b0bbb10e,2025,6,2,ST,46166.7535168463,44373.602879476966,1793.1506373693373,3.8769297473394913
PE_0fa9147237bf4b348c9f,2023,S2,1,ST,16620.770208836453,16505.15083013806,115.61937869839312,0.7005048296030991
PE_14298b67e71efd6380df,2022,2,1,MT,14408.28917947449,14352.569121746317,55.72005772817283,0.38822358043026944
PE_16ac905814be2f1ac791,2021,6,2,ST,6308.256111540065,6217.68370061807,90.57241092199456,1.4566905504213923
PE_199b5b7c1aaa1098c691,2023,S1,1,MT,20998.45817295026,20958.86892553438,39.58924741587907,0.188890190384497
PE_1a4143d14585d70064a4,2021,2,2,ST,7111.350678770584,7373.741666903634,-262.3909881330501,-3.5584510549205715
PE_2000666922e9baf4491a,2025,5,2,ST,57589.95513557225,54825.972807963466,2763.982327608781,4.959967458706684
PE_22cf0a3e64c2027aae35,2023,S2,1,MT,16544.742258946957,16475.546714848897,69.19554409806005,0.41998936542540505
PE_230aa97120550e292bc7,2022,2,2,ST,12832.540399418885,12796.909072832224,35.63132658666109,0.2784369755529968
PE_2314eec6a45e0be9e203,2025,4,1,MT,54171.455636349354,51719.52248992276,2451.933146426596,4.739200622313269
PE_23621b170748f0fc60c2,2023,4,2,MT,23903.94973048387,23393.05056705553,510.8991634283411,2.183978365557168
PE_248493668060338e72e6,2023,1,1,MT,45250.81063518881,44344.61952436417,906.1911108246422,2.0435198690266256
PE_260d9de653b38957c0fe,2022,5,1,MT,13419.144552085334,13447.251316073936,-28.106763988602324,-0.20901493790783396
PE_30f71765b192fa672ac6,2024,1,2,ST,39370.87714940356,39316.602738012465,54.27441139109578,0.008878909532456347
PE_326f1ee42ddcd2cd3c31,2025,1,2,ST,63303.794668805866,61826.40514923998,1477.3895195658843,2.389576938849477
PE_33b48c45a8f1d7ee984a,2025,6,1,ST,51458.047013190466,49489.625112345995,1968.4219008444707,3.7786840190979496
PE_344e7a9bb935a4829210,2022,2,2,MT,14447.947943740408,14464.188891971675,-16.240948231266884,-0.11228385049839468
PE_3694e2f2ef6dd2e8480f,2023,S2,2,MT,15673.647139074197,15684.238881070734,-10.591741996537166,-0.0675311188311491
PE_39c8810e26ab4ca7933c,2025,3,2,MT,63277.01170235855,61622.38265454961,1654.6290478089359,2.6851104688448357
PE_3d9e743a00f5613f6722,2021,1,1,ST,14203.764972222854,14127.561076400267,76.20389582258758,0.5393988064216142
PE_3e1a799849bdfb1c3f26,2022,6,1,MT,14180.070909376376,14418.199066332067,-238.12815695569043,-1.6515804495427133
PE_3eefa2d11be77738359b,2022,4,2,ST,12106.913967728604,12076.866855551876,30.04711217672775,0.24879890236526656
PE_3fc5dfce0fb4c6220e16,2022,4,2,MT,14492.271526334262,14468.619298743766,23.652227590495386,0.1634725961208267
PE_425f14902ee81a16cfeb,2022,7,1,ST,10835.503990663614,10788.667758595437,46.836232068177196,0.4341243341270039
PE_44d1a7f433fe780ac78b,2025,2,2,ST,57409.79751897242,56149.9702080003,1259.8273109721194,2.243682955316365
PE_47021952abc7ade62c23,2024,3,2,ST,51901.621101533914,50775.961450762086,1125.6596507718314,2.172273688893168
PE_47319afabf95ce33e7fd,2021,2,1,ST,8623.660923950267,8676.437728865694,-52.77680491542742,-0.6082773433599822
PE_510406c16da87dd620cb,2022,1,2,ST,11009.135669971842,10774.157761051805,234.9779089200365,2.180939931745507
PE_5556897f607258fe9362,2022,4,1,MT,13265.13811932064,13292.922336674865,-27.784217354224893,-0.2090151183503787
PE_55ff1c1f21eee62bac5f,2025,2,1,ST,57385.59092768654,55341.83623221561,2043.7546954709323,3.676494916280503
PE_676050582c291c72204b,2025,6,1,MT,48467.768359242385,46587.95636186589,1879.8119973764988,3.9741245878472995
PE_68d44a8c5ee2992c2c36,2023,4,1,ST,34813.1839268257,33953.48615232864,859.6977744970645,2.5319867616542338
PE_68f1adf13e8ebbd5338b,2025,7,2,ST,38785.29088980685,37828.29385443587,956.9970353709814,2.4796006338337673
PE_69bf4666a40285ef26b8,2025,1,1,ST,58885.90373504745,57624.96549275714,1260.9382422903109,2.19160759085744
PE_6af7db12fea1a0f5f5e0,2021,4,2,ST,6838.879626724778,6800.5231714493575,38.35645527542056,0.5640221245984794
PE_6c85627a623e6c9dfbb4,2025,2,2,MT,58983.60473824676,57456.66177555491,1526.94296269185,2.65755600048016
PE_6db16cd7a8da79e5651d,2025,4,1,ST,56679.971586886306,54097.617176130414,2582.3544107558955,4.704295588006597
PE_6dfbf6a0b565de5536dd,2024,2,2,ST,43174.60304401617,43423.123196394285,-248.5201523781161,-0.8549815794446101
PE_6ee044c77bdf30366b5d,2021,1,2,ST,10791.142631160646,10836.677458864431,-45.534827703784686,-0.42019177812233466
PE_6f90d69c4aa146a04e18,2023,S1,1,ST,16802.542330290038,16724.145848203556,78.39648208648214,0.46876224829684315
