DisplayTarget,Evaluation,n,RMSE,RMSE_units,NRMSE_percent,Coverage
NH4,full_record_physical_event_reconstruction,42,0.08461,mg/L,77.8%,NA
NH4,outer_loyo_physical_event_validation,42,0.2735,mg/L,251.6%,100.0%
NO3,full_record_physical_event_reconstruction,356,0.9523,mg/L,13.6%,NA
NO3,outer_loyo_physical_event_validation,356,2.75,mg/L,39.2%,95.2%
NO2,full_record_physical_event_reconstruction,129,0.1769,mg/L,63.6%,NA
NO2,outer_loyo_physical_event_validation,129,0.3459,mg/L,124.5%,100.0%
OP,full_record_physical_event_reconstruction,335,0.09722,mg/L,80.3%,NA
OP,outer_loyo_physical_event_validation,335,0.2916,mg/L,240.7%,100.0%
Se,full_record_physical_event_reconstruction,101,0.03854,mg/L,582.2%,NA
Se,outer_loyo_physical_event_validation,101,0.1576,mg/L,2380.3%,100.0%
TDS,full_record_physical_event_reconstruction,97,69.48,mg/L,7.9%,NA
TDS,outer_loyo_physical_event_validation,97,560.7,mg/L,63.4%,63.9%
TKN,full_record_physical_event_reconstruction,313,1.579,mg/L,62.2%,NA
TKN,outer_loyo_physical_event_validation,313,5.129,mg/L,202.2%,79.9%
TN,full_record_physical_event_reconstruction,104,1.198,mg/L,21.1%,NA
TN,outer_loyo_physical_event_validation,104,2.73,mg/L,48.1%,88.5%
TP,full_record_physical_event_reconstruction,361,0.6614,mg/L,76.8%,NA
TP,outer_loyo_physical_event_validation,361,1.288,mg/L,149.6%,94.5%
TSS,full_record_physical_event_reconstruction,400,560.1,mg/L,57.4%,NA
TSS,outer_loyo_physical_event_validation,400,1114,mg/L,114.1%,61.5%
Volume,full_record_physical_event_reconstruction,333,1.185e+04,L,44.3%,NA
Volume,outer_loyo_physical_event_validation,333,2.528e+04,L,94.4%,86.5%
