Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE,NRMSE,Coverage
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.0846,0.778,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.177,0.636,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.952,0.136,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.0972,0.803,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.0385,5.822,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,69.5,0.079,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.58,0.622,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.2,0.211,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.661,0.768,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,560,0.574,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,CT,14,0.132,1.134,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,MT,14,0.0454,0.510,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,ST,14,0.0456,0.377,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,CT,42,0.13,0.459,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,MT,43,0.115,0.412,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,ST,44,0.25,0.922,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,CT,121,0.729,0.105,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,MT,116,1.18,0.164,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,ST,119,0.909,0.130,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,CT,111,0.0761,0.670,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,MT,112,0.126,0.897,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,ST,112,0.0809,0.744,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,CT,33,0.0423,5.767,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,MT,34,0.0421,6.751,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,ST,34,0.03,4.761,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,CT,32,94,0.107,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,MT,32,51.3,0.058,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,ST,33,55.5,0.063,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,105,1.42,0.480,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,1.2,0.576,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.99,0.783,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,CT,36,1.21,0.209,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,MT,34,1.19,0.214,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,ST,34,1.19,0.210,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,CT,121,0.523,0.557,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,MT,120,0.938,1.016,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,ST,120,0.401,0.555,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,CT,132,685,0.503,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,MT,134,577,0.718,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,ST,134,377,0.490,NA
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,1.19e+04,0.443,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,CT,111,1.31e+04,0.451,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,MT,101,1.24e+04,0.453,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,ST,121,1e+04,0.415,NA
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.273,2.516,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.346,1.245,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,356,2.75,0.392,95.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,335,0.292,2.407,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,101,0.158,23.803,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,561,0.634,63.9%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,313,5.13,2.022,79.9%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,2.73,0.481,88.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,361,1.29,1.496,94.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,400,1.11e+03,1.141,61.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,CT,14,0.319,2.752,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,MT,14,0.288,3.232,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,ST,14,0.199,1.643,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,CT,42,0.365,1.290,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,MT,43,0.338,1.210,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,ST,44,0.334,1.231,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,CT,121,2.65,0.382,92.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,MT,116,2.95,0.412,96.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,ST,119,2.64,0.379,96.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,CT,111,0.291,2.563,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,MT,112,0.311,2.210,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,ST,112,0.271,2.488,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,CT,33,0.154,20.937,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,MT,34,0.162,25.903,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,ST,34,0.157,24.949,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,CT,32,545,0.619,65.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,MT,32,569,0.640,62.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,ST,33,568,0.641,63.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,CT,105,4.78,1.613,77.1%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,MT,102,4.46,2.137,84.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,ST,106,5.99,2.353,78.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,CT,36,2.96,0.513,91.7%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,MT,34,2.55,0.457,91.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,ST,34,2.65,0.467,82.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,CT,121,1,1.069,95.9%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,MT,120,1.7,1.841,94.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,ST,120,1.05,1.448,93.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,CT,132,1.29e+03,0.948,55.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,MT,134,1.13e+03,1.406,67.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,ST,134,886,1.151,61.9%
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,2.53e+04,0.944,86.5%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,CT,111,2.45e+04,0.844,91.0%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,MT,101,2.77e+04,1.012,83.2%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,ST,121,2.38e+04,0.984,85.1%
