Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.017424359865686235,0.16918857418428315,1.0,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.08460681661368838,0.7784197804545261,,NH4
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,831,0.9230140601079884,0.14516798896186053,0.950661853188929,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9523112240517688,0.13562921855516177,,NO3
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,440,0.16634368184738038,0.5561389299336457,0.9840909090909091,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.17685156426580528,0.6364495345381953,,NO2
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,811,0.14731563297491498,1.0092413210337647,0.9112207151664612,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.0972171263247491,0.8025365890143406,,OP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.0008444232094887486,0.1289168276479684,0.9395348837209302,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.03853921744465425,5.822330693616058,,Se
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,368,95.13036296330509,0.10266448550559913,0.9864130434782609,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,69.4784159125882,0.07850897100528358,,TDS
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,739,1.921509191610056,0.9128092586163252,0.9607577807848444,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.5789787273075495,0.6224308205777374,,TKN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.1409336159178975,0.334399669758035,0.9825581395348837,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.197550263815136,0.21096112938701064,,TN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,815,2.198233512554097,1.904051686361847,0.9312883435582822,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6614135046922164,0.7678389626898615,,TP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,894,2069.8092008833087,1.580898157483351,0.8791946308724832,TSS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,560.1131921600706,0.5736139446749975,,TSS
Bayes,posterior_predictive_fit,Volume_L,overall,all,all,372,12712.391133682866,0.4407504837108032,0.8897849462365591,Volume
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,11853.97542314774,0.44277835812479227,,Volume
