Year,Treatment,Rep,n_expected_physical_events,ExpectedIrrigationLabels,n_observed_event_volumes,ObservedIncompleteSubtotal_L,MissingIrrigationLabels,PlotComplete,ObservedReplicateAnnualVolume_L,n_complete_plots,ObservedAnnualVolume_L,ObservedSampleSD_L,ObservedSE_L,ObservedMinimum_L,ObservedMaximum_L,ObservedAnnualVolumeRangeLow_L,ObservedAnnualVolumeRangeHigh_L,IntervalType,CompletenessDefinition,observed_event_fraction,ObservedAnnualVolumeComplete,ObservedAnnualVolume_kL,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType
2011,CT,1,6,1;2;3;4;5;6,4,72045.59,5;6,False,,1.0,95657.38,,,95657.38,95657.38,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.6666666666666666,True,95.65738,,,none
2011,CT,2,6,1;2;3;4;5;6,6,95657.38,,True,95657.38,1.0,95657.38,,,95657.38,95657.38,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,95.65738,,,none
2011,MT,1,6,1;2;3;4;5;6,3,90742.94,4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,,,,none
2011,MT,2,6,1;2;3;4;5;6,3,79689.4,1;3;4,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,,,,none
2011,ST,1,6,1;2;3;4;5;6,5,134455.45,2,False,,1.0,145384.37,,,145384.37,145384.37,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8333333333333334,True,145.38437,,,none
2011,ST,2,6,1;2;3;4;5;6,6,145384.37,,True,145384.37,1.0,145384.37,,,145384.37,145384.37,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,145.38437,,,none
2012,CT,1,10,1;10;2;3;4;5;6;7;8;9,10,68231.0,,True,68231.0,1.0,68231.0,,,68231.0,68231.0,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,68.231,,,none
2012,CT,2,10,1;10;2;3;4;5;6;7;8;9,8,97526.0,6;8,False,,1.0,68231.0,,,68231.0,68231.0,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8,True,68.231,,,none
2012,MT,1,10,1;10;2;3;4;5;6;7;8;9,7,164432.0,1;10;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7,False,,,,none
2012,MT,2,10,1;10;2;3;4;5;6;7;8;9,8,65662.0,1;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8,False,,,,none
2012,ST,1,10,1;10;2;3;4;5;6;7;8;9,7,84061.0,3;6;7,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7,False,,,,none
2012,ST,2,10,1;10;2;3;4;5;6;7;8;9,9,94096.0,3,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.9,False,,,,none
2013,CT,1,7,1;2;3;4;5;6;7,5,78443.0,1;2,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2013,CT,2,7,1;2;3;4;5;6;7,6,138635.0,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8571428571428571,False,,,,none
2013,MT,1,7,1;2;3;4;5;6;7,4,120812.0,1;4;5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5714285714285714,False,,,,none
2013,MT,2,7,1;2;3;4;5;6;7,5,138376.0,1;4,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.7142857142857143,False,,,,none
2013,ST,1,7,1;2;3;4;5;6;7,6,168744.0,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8571428571428571,False,,,,none
2013,ST,2,7,1;2;3;4;5;6;7,6,57914.0,1,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8571428571428571,False,,,,none
2014,CT,1,5,1;2;3;4;5,4,93962.62,5,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.8,False,,,,none
