Year,Treatment,Rep,ExpectedIrrigationLabels,n_expected_physical_events,n_observed_event_volumes,MissingIrrigationLabels,observed_event_fraction,PlotComplete,ObservedReplicateAnnualVolume_L,n_complete_plots,ObservedAnnualVolume_kL,ObservedSampleSD_L,ObservedSE_L,ObservedMinimum_L,ObservedMaximum_L,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType,CompletenessDefinition
2011,CT,1,1;2;3;4;5;6,6,4,5;6,0.6666666666666666,Incomplete,-,1.0,95.66,-,-,9.566e+04,9.566e+04,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2011,CT,2,1;2;3;4;5;6,6,6,,1.0,Complete,9.566e+04,1.0,95.66,-,-,9.566e+04,9.566e+04,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2011,MT,1,1;2;3;4;5;6,6,3,4;5;6,0.5,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2011,MT,2,1;2;3;4;5;6,6,3,1;3;4,0.5,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2011,ST,1,1;2;3;4;5;6,6,5,2,0.8333333333333334,Incomplete,-,1.0,145.4,-,-,1.454e+05,1.454e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2011,ST,2,1;2;3;4;5;6,6,6,,1.0,Complete,1.454e+05,1.0,145.4,-,-,1.454e+05,1.454e+05,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2012,CT,1,1;10;2;3;4;5;6;7;8;9,10,10,,1.0,Complete,6.823e+04,1.0,68.23,-,-,6.823e+04,6.823e+04,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2012,CT,2,1;10;2;3;4;5;6;7;8;9,10,8,6;8,0.8,Incomplete,-,1.0,68.23,-,-,6.823e+04,6.823e+04,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2012,MT,1,1;10;2;3;4;5;6;7;8;9,10,7,1;10;6,0.7,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2012,MT,2,1;10;2;3;4;5;6;7;8;9,10,8,1;5,0.8,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2012,ST,1,1;10;2;3;4;5;6;7;8;9,10,7,3;6;7,0.7,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2012,ST,2,1;10;2;3;4;5;6;7;8;9,10,9,3,0.9,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2013,CT,1,1;2;3;4;5;6;7,7,5,1;2,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2013,CT,2,1;2;3;4;5;6;7,7,6,1,0.8571428571428571,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2013,MT,1,1;2;3;4;5;6;7,7,4,1;4;5,0.5714285714285714,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2013,MT,2,1;2;3;4;5;6;7,7,5,1;4,0.7142857142857143,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2013,ST,1,1;2;3;4;5;6;7,7,6,1,0.8571428571428571,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2013,ST,2,1;2;3;4;5;6;7,7,6,1,0.8571428571428571,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2014,CT,1,1;2;3;4;5,5,4,5,0.8,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2014,CT,2,1;2;3;4;5,5,4,5,0.8,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2014,MT,1,1;2;3;4;5,5,3,3;5,0.6,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2014,MT,2,1;2;3;4;5,5,3,2;5,0.6,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2014,ST,1,1;2;3;4;5,5,4,5,0.8,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2014,ST,2,1;2;3;4;5,5,4,5,0.8,Incomplete,-,0.0,-,-,-,-,-,-,-,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2015,CT,1,1;2;3;4;5;6,6,6,,1.0,Complete,1.618e+05,2.0,132.4,4.156e+04,2.939e+04,1.03e+05,1.618e+05,103,161.8,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2015,CT,2,1;2;3;4;5;6,6,6,,1.0,Complete,1.03e+05,2.0,132.4,4.156e+04,2.939e+04,1.03e+05,1.618e+05,103,161.8,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2015,MT,1,1;2;3;4;5;6,6,6,,1.0,Complete,4.415e+04,2.0,65.6,3.033e+04,2.145e+04,4.415e+04,8.705e+04,44.15,87.05,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2015,MT,2,1;2;3;4;5;6,6,6,,1.0,Complete,8.705e+04,2.0,65.6,3.033e+04,2.145e+04,4.415e+04,8.705e+04,44.15,87.05,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2015,ST,1,1;2;3;4;5;6,6,6,,1.0,Complete,7.248e+04,2.0,57.59,2.106e+04,1.489e+04,4.271e+04,7.248e+04,42.71,72.48,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2015,ST,2,1;2;3;4;5;6,6,6,,1.0,Complete,4.271e+04,2.0,57.59,2.106e+04,1.489e+04,4.271e+04,7.248e+04,42.71,72.48,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
2016,CT,1,1;2,2,2,,1.0,Complete,8.932e+04,2.0,76.61,1.798e+04,1.271e+04,6.39e+04,8.932e+04,63.9,89.32,descriptive replicate minimum-to-maximum range,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff"
