Year,Treatment,Analyte,mean,median,low,high,n_draws,point_total_mg
2011,CT,ICP,112379.5979922224,65240.88257925269,34828.88459824466,578031.132403556,2000,53020.82515645257
2011,CT,NH4,134959.79621867632,85258.19722681807,40532.670596938086,637837.3846214655,2000,60767.0522118119
2011,CT,NO2,178153.249389189,112793.60494191783,61355.55629216714,790222.9156362601,2000,86670.30071981649
2011,CT,NO3,1849770.606281305,1230394.085667895,1027324.2214796434,10094735.844232459,2000,1166969.5017749895
2011,CT,NOx,1561805.88152359,971438.7035495418,711281.4395316854,8788504.145630853,2000,862765.7174564139
2011,CT,NPOC,1624940.279948142,1030920.3644207993,758700.386269063,8889192.925034719,2000,915532.7096651902
2011,CT,OP,97449.00791768417,50280.172896298965,25181.71065480924,566483.2195990538,2000,39014.921006849996
2011,CT,Se,119110.0437586791,72977.80052695957,34068.748667092266,518782.05596885766,2000,50008.41719703668
2011,CT,TDS,3405087.6650333623,2124361.275691132,1590287.8547871725,19934849.089161117,2000,1899883.673180422
2011,CT,TKN,1489673.726719457,950041.4247646325,707562.522926272,8114372.141633739,2000,845970.6746096719
2011,CT,TN,1107229.6106962368,782427.916782751,662846.8629833438,5172708.106167675,2000,742106.879195192
2011,CT,TP,563001.8619745965,383375.6662238006,315583.4372487607,2417447.7391531644,2000,360722.0725729996
2011,CT,TSP,148056.31723684692,84464.3742817778,41090.28549936682,730768.8954367453,2000,60544.78115695616
2011,CT,TSS,408164618.3095895,249322023.55580693,214329838.86818781,2574349070.880391,2000,243948832.7315036
2011,MT,ICP,160047.35834819332,77570.4495473018,40045.11813108586,688328.575424465,2000,57018.69508672226
2011,MT,NH4,268519.24312540004,112336.901461,48684.96479773589,1305906.247273094,2000,72232.15042717672
2011,MT,NO2,358546.68622148316,168227.65557882114,86393.2289592813,1940536.4775828691,2000,120838.07464632005
2011,MT,NO3,3815115.1338506616,1756017.2588909953,1321217.4389400554,19836779.700076003,2000,1552638.6324331446
2011,MT,NOx,2390027.9332627915,1135184.9635434893,768818.5306469011,11498139.848806245,2000,929229.4444882872
2011,MT,NPOC,2501396.5546315564,1198361.7043122682,830166.7210726669,11172606.593413418,2000,977751.6407200061
2011,MT,OP,192810.94459830737,76454.39862976968,37121.86110377851,1079036.1099423836,2000,54012.760469557594
2011,MT,Se,290631.81287149363,120749.8280886987,54317.70723407245,1792401.299306725,2000,76201.6461120168
2011,MT,TDS,5172205.517959525,2409272.2252023118,1703938.245905793,23767112.85352476,2000,2015809.120160378
2011,MT,TKN,2483524.628584141,1189330.3965233373,829740.9313910365,12006658.914809838,2000,983336.9559486593
2011,MT,TN,1913248.55115009,1061937.1040209052,833168.5394121269,12854131.209252784,2000,966067.3862915522
2011,MT,TP,914237.002375395,441710.7805070742,318931.39885499753,4528214.483223257,2000,384128.954004635
2011,MT,TSP,251859.06628847576,112158.23915800574,49960.934322801564,1520773.5523097895,2000,71623.64104101248
2011,MT,TSS,668437350.4388245,317448734.7684406,254889138.84002852,3233667460.8512626,2000,293377724.0625802
2011,ST,ICP,95308.65778879664,74036.35045627895,39706.85830920975,385063.2557568398,2000,59741.08418537863
2011,ST,NH4,134714.33144042967,102204.57971968192,46620.22881040454,401073.28145295905,2000,73713.02042470792
2011,ST,NO2,200796.38889127187,132697.33271070485,68263.20969741774,724607.164195212,2000,98764.0153338808
2011,ST,NO3,2307181.945026788,1768561.5126564181,1519684.3427899412,12992663.296676017,2000,1708087.9944324915
2011,ST,NOx,1370182.5531588958,1121553.405753882,854748.7816915404,5784877.952720985,2000,1033040.4808229862
2011,ST,NPOC,1485024.9879378793,1224265.7251496443,939244.9417362773,5439060.3344411515,2000,1123207.589736443
2011,ST,OP,80752.16290838542,59345.678298269486,30223.8822729105,352807.2806011826,2000,44322.43401551877
2011,ST,Se,131550.4398061946,100315.82918452121,43819.80352906838,370807.33986857714,2000,67357.46014082247
