PhysicalEventID,Year,Treatment,Analyte,Concentration_mg_L,Volume_L,Load_kg,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_volume_prediction_rows,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,central_estimate_type,concentration_resolution,volume_resolution
PE_0c9ea8b6d49a77a0c727,2011,ST,ICP,0.11475242547395899,4333.043268693782,0.0004972272247662229,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0c9ea8b6d49a77a0c727,2011,ST,NO3,7.075479294634123,4333.043268693782,0.030658357930396615,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0c9ea8b6d49a77a0c727,2011,ST,OP,0.10960990134378808,4333.043268693782,0.0004749444451998905,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0c9ea8b6d49a77a0c727,2011,ST,TN,2.269483641279703,4333.043268693782,0.00983377081525767,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0c9ea8b6d49a77a0c727,2011,ST,TP,0.7663397709808231,4333.043268693782,0.0033205833861807903,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0c9ea8b6d49a77a0c727,2011,ST,TSS,641.2264021133709,4333.043268693782,2.7784617453860743,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0e62f85581840cc2b939,2011,MT,ICP,0.0838401494156115,3524.7376120792637,0.00029551452804755114,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0e62f85581840cc2b939,2011,MT,NO3,6.964845431934583,3524.7376120792637,0.024549252656258267,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0e62f85581840cc2b939,2011,MT,OP,0.14157871034602382,3524.7376120792637,0.0004990278054263057,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0e62f85581840cc2b939,2011,MT,TN,3.4924341900807754,3524.7376120792637,0.01230991414748929,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0e62f85581840cc2b939,2011,MT,TP,0.8699773124404195,3524.7376120792637,0.00306644175481438,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_0e62f85581840cc2b939,2011,MT,TSS,653.9376655764403,3524.7376120792637,2.3049586858125903,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_10c9207ac48a8196b9e7,2011,ST,TSS,683.422050792646,3689.1931746921273,2.521275965218326,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_12357952bf07eed62361,2011,ST,TSS,615.0187594731265,3774.688815825072,2.3215044329058205,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_18224810febe78929934,2011,CT,ICP,0.2634465948611168,12618.567613501846,0.0033243186698018305,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_18224810febe78929934,2011,CT,NO3,7.478448834298181,12618.567613501846,0.09436731225970567,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_18224810febe78929934,2011,CT,OP,0.28004433643516496,12618.567613501846,0.0035337583940853873,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_18224810febe78929934,2011,CT,TN,2.4673686728738358,12618.567613501846,0.031134658426094815,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_18224810febe78929934,2011,CT,TP,1.1520568459067397,12618.567613501846,0.014537307204671873,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_18224810febe78929934,2011,CT,TSS,735.8888258590227,12618.567613501846,9.285862905122563,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_1c08c9b34f6246b4404a,2011,MT,TSS,753.6821143340899,3963.012453789331,2.9868516053042726,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2561524d14d653dd0c19,2011,ST,TSS,681.8319523660641,3357.892462111904,2.2895183732770494,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_25a069f91e769778ceb1,2011,MT,TSS,666.1922840565506,3744.9374961617987,2.4948484642170485,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2a3aa3cb4dc98d611421,2011,CT,TSS,976.9026663509203,14244.082427046495,13.915082102704009,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_353c2d3559ff1894d370,2011,CT,ICP,0.3551919775044945,7472.160914396459,0.00265405161141627,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_353c2d3559ff1894d370,2011,CT,NO3,7.3591353645576465,7472.160914396459,0.05498864363480038,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_353c2d3559ff1894d370,2011,CT,OP,0.3282751098305488,7472.160914396459,0.0024529244448450315,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_353c2d3559ff1894d370,2011,CT,TN,6.469820647925133,7472.160914396459,0.04834354096858135,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_353c2d3559ff1894d370,2011,CT,TP,1.5496185796044775,7472.160914396459,0.011578999382743134,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_353c2d3559ff1894d370,2011,CT,TSS,750.9347161046074,7472.160914396459,5.611105034940248,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_38c079a893cd582a2a48,2011,ST,TSS,669.7056346610319,2964.6862240837154,1.985467069270803,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_4db4a9a827839c04b347,2011,CT,TSS,960.710020866002,12395.91791446704,11.908882558260876,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_4f066bb9d574c4350a5d,2011,ST,ICP,0.13031481084550064,1637.6305890805158,0.0002134075204508332,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_4f066bb9d574c4350a5d,2011,ST,NO3,7.2345894685613,1637.6305890805158,0.011847585013155738,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_4f066bb9d574c4350a5d,2011,ST,OP,0.21204203643430913,1637.6305890805158,0.00034724652503574985,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_4f066bb9d574c4350a5d,2011,ST,TN,4.312997993549726,1637.6305890805158,0.007063097444879921,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_4f066bb9d574c4350a5d,2011,ST,TP,0.8148063625493771,1637.6305890805158,0.0013343518234882887,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_4f066bb9d574c4350a5d,2011,ST,TSS,643.345930078495,1637.6305890805158,1.0535629744569983,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_57fde8e4f7b2aebd2fb0,2011,ST,ICP,0.41839339361060107,1733.85630614288,0.0007254340239602608,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57fde8e4f7b2aebd2fb0,2011,ST,NO3,7.36126175408141,1733.85630614288,0.01276337011348245,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57fde8e4f7b2aebd2fb0,2011,ST,OP,0.3714278837941828,1733.85630614288,0.0006440025785938486,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57fde8e4f7b2aebd2fb0,2011,ST,TN,6.344270814563528,1733.85630614288,0.011000053959709197,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57fde8e4f7b2aebd2fb0,2011,ST,TP,1.516192186245139,1733.85630614288,0.0026288593834456944,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57fde8e4f7b2aebd2fb0,2011,ST,TSS,558.5814027156842,1733.85630614288,0.9684998875927248,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_5c583c3f4449a9ca8b12,2011,ST,TSS,573.612454441445,3691.036691243443,2.1172246158975816,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_906fb1459c234c5bc337,2011,ST,ICP,0.33775016875646785,2013.4477714670888,0.0006800423245953434,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
