metric,value,details
workflow_version,v3p0_physical_event,corrected ML workflow
physical_event_key,Date + Year + Irrigation + Rep + Treatment,shared event contract
comparison_analyte_field,analyte_abbr,normalized ML/Bayes output key
concentration_observations,15366,all legitimate rows retained
physical_events,535,hydrologic plot events
volume_candidate_rows_before_dedup,9767,copied raw rows
genuine_volume_observations,372,volume training rows
events_without_volume_observation,202,prediction only
blocking_conflict_rows,0,must be zero before fitting
event_balanced_training_weights,True,default true; recorded per training row
predictors_used_logC,Year;Irrigation;Rep;Treatment;Analyte;Volume;Inflow_Result_mg_L;Inflow_Volume;Flag;Inflow_Flag;FlumeMethod;MeasureMethod;IrrMethod;TSSMethod;Lab;SeasonYear;Crop;previous_crop;CumAll_STIR_toDate;Season_STIR_toDate;DaysSincePlant;DaysUntilHarvest;DayOfYear;SampleMethod;FF;Composite;Duplicate;RLMDL_Method;RLMDL_Source;RLMDL_Assumed;MDL_mg_L;RL_mg_L;Result_lod_mg_L;residue_prop;Residue_DryMass_kg_m2,row model
predictors_used_logV,Year;Irrigation;Rep;Treatment;Crop;SeasonYear;previous_crop;CumAll_STIR_toDate;Season_STIR_toDate;Inflow_Volume;MeasureMethod;FlumeMethod;IrrMethod;DayOfYear;DaysSincePlant;DaysUntilHarvest;residue_prop;Residue_DryMass_kg_m2,volume-observation model
