feature,importance_mean,importance_sd
DaysUntilHarvest,18.479020422032658,9.370706853321463
DaysSincePlant,10.537217577514133,4.911600708014377
MeasureMethod,9.92714068176795,2.4609440265254325
DayOfYear,9.926965708509927,6.789573286824448
FlumeMethod,8.170914876206677,3.3714793238226495
Inflow_Volume,6.6673010201368355,2.672836250924232
CumAll_STIR_toDate,6.521729168783728,2.6859270833416926
Season_STIR_toDate,4.336367190364122,2.9208802142891175
previous_crop,4.077323443367672,2.3675690380741563
Irrigation,4.021752591947587,1.3582277604608521
Treatment,3.948684182672127,1.2567117595252113
Crop,2.995193567827531,0.8954502582776042
IrrMethod,2.7981292555757764,2.156216255411248
residue_prop,2.0231361395579834,0.7400712430476103
Year,1.6765624579998297,0.8497276868696314
Residue_DryMass_kg_m2,1.591379603135545,0.3722720410995969
SeasonYear,1.3008089497806294,0.5889036333387871
Rep,1.0003731628192425,0.31984326799064283
