PhysicalEventID,Year,Treatment,Analyte,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_distinct_concentration_MeasureMethod,concentration_MeasureMethod_values,n_distinct_concentration_Lab,concentration_Lab_values,n_distinct_concentration_Duplicate,concentration_Duplicate_values,n_volume_prediction_rows,n_volume_observation_ids,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,n_distinct_volume_FlumeMethod,volume_FlumeMethod_values,n_volume_source_rows_before_copy_deduplication,concentration_resolution,volume_resolution
PE_01121cfc6bcbe9c320ee,2022,MT,ICP,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NH4,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NO2,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NO3,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NOx,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NPOC,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,OP,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,Se,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TDS,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TKN,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TN,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TP,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TSP,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TSS,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,median,median
PE_013bf97cfac8f24b53cf,2023,ST,ICP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NH4,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NO2,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NO3,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NOx,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,NPOC,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,OP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,Se,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TDS,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TKN,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TN,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TSP,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_013bf97cfac8f24b53cf,2023,ST,TSS,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,ICP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NH4,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NO2,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NO3,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NOx,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,NPOC,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,OP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,Se,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TDS,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TKN,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TN,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TSP,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02198f264bcc3fc3d8a7,2018,CT,TSS,1,1,1,ISC,1,Bubbler,0,,1,False,1,0,0,,0,,0,median,median
PE_02f279769c003d107924,2024,MT,ICP,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,NH4,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,NO2,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,NO3,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,NOx,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,NPOC,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,OP,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,Se,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,TDS,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,TKN,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,TN,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,TP,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
PE_02f279769c003d107924,2024,MT,TSP,4,4,3,GB | ISC | LC,2,Bubbler | Etape,1,ALS Houston,2,False | True,1,1,1,Etape,1,60 V Trap,28,median,median
