_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,PhysicalEventID,ConcentrationObservationID,y_logC,y_logV,Result_mg_L_model_pred,Result_mg_L_model_pi_low,Result_mg_L_model_pi_high,Volume_model_pred,Volume_model_pi_low,Volume_model_pi_high,Result_mg_L_pred,Result_mg_L_pi_low,Result_mg_L_pi_high,q_conformal_logC,Volume_pred,Volume_pi_low,Volume_pi_high,q_conformal_logV,Result_mg_L_filled,Volume_filled
0,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.064,0.01,,55761.14,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,0.064,0.75,0,0.01,0.75,OP,-0.3723332997387324,-0.2704658744587053,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_5feceb66ffc86f38d952,0.06203539091945264,9.356812792126307,0.13768196535815225,0.0,1.520655677665447,8665.776762258913,58.27590916245659,1267175.168331218,,,,,,,,,0.064,11576.43
1111,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalP,1.431,0.077,,55761.14,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,1.431,0.05,0,0.077,0.05,TP,0.1033295072466362,0.5754085287933446,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_0ffe1abd1a08215353c2,0.8883026953339863,9.356812792126307,1.966485105179736,0.3389042520049029,5.572563994830755,8665.776762258913,58.27590916245659,1267175.168331218,,,,,,,,,1.431,11576.43
2222,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",ICP,0.117,0.033,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,0.117,,0,0.033,,ICP,-0.3240401738550796,2.191986497404764,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_edee29f882543b956620,0.11064652008706366,9.356812792126307,0.17222095376616497,0.0,1.5971804885374121,8665.776762258913,58.27590916245659,1267175.168331218,,,,,,,,,0.117,11576.43
3333,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TKN,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,TKN,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_318aee3fed8c9d040d35,,9.356812792126307,5.130105337250193,1.7667841941801834,12.58190187902167,8665.776762258913,58.27590916245659,1267175.168331218,5.130105337250193,1.7667841941801834,12.58190187902167,0.7955262286348486,,,,,5.130105337250193,11576.43
4444,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrate,8.567,6.4,,55761.14,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,8.567,0.2,0,6.4,0.2,NO3,0.6314727908766592,0.1077516680296207,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_79f06f8fde333461739f,2.25831967669603,9.356812792126307,8.268481310797638,3.1832703002576004,19.535308417272294,8665.776762258913,58.27590916245659,1267175.168331218,,,,,,,,,8.567,11576.43
5555,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrite,,,,55761.14,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,0.15,0,,0.15,NO2,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_c1f330d0aff31c1c8740,,9.356812792126307,0.7072368523929624,0.0,2.7825652477045932,8665.776762258913,58.27590916245659,1267175.168331218,0.7072368523929624,0.0,2.7825652477045932,0.7955262286348486,,,,,0.7072368523929624,11576.43
6666,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NitrateNitrite,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,NOx,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_d7697570462f7562b83e,,9.356812792126307,4.612904561625307,1.533348901882487,11.435988424059389,8665.776762258913,58.27590916245659,1267175.168331218,4.612904561625307,1.533348901882487,11.435988424059389,0.7955262286348486,,,,,4.612904561625307,11576.43
7777,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,12.703,7.36,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,12.703,,0,7.36,,TN,1.6886665960088894,0.4953991785653859,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_41c991eb6a66242c0454,2.617614786964064,9.356812792126307,11.186974760808294,4.500513822850973,26.001541783890602,8665.776762258913,58.27590916245659,1267175.168331218,,,,,,,,,12.703,11576.43
8888,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Ammonium(NH4),,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,NH4,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_2926a2731f4b312c0898,,9.356812792126307,0.2879461119685881,0.0,1.8535819134996503,8665.776762258913,58.27590916245659,1267175.168331218,0.2879461119685881,0.0,1.8535819134996503,0.7955262286348486,,,,,0.2879461119685881,11576.43
9999,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSP,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,TSP,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_888df25ae35772424a56,,9.356812792126307,0.28691894447218735,0.0,1.8513061144094358,8665.776762258913,58.27590916245659,1267175.168331218,0.28691894447218735,0.0,1.8513061144094358,0.7955262286348486,,,,,0.28691894447218735,11576.43
11110,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Selenium,,,,55761.14,False,,1.5,UG/L,EPA200.8 [SE200.8]_W,,0.0015,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,0.0015,0,,0.0015,Se,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_81c7883d08afb46d4bc0,,9.356812792126307,0.23357360848044204,0.0,1.7331138356013307,8665.776762258913,58.27590916245659,1267175.168331218,0.23357360848044204,0.0,1.7331138356013307,0.7955262286348486,,,,,0.23357360848044204,11576.43
12221,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NPOC,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,NPOC,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_1985ad3cff2f49f0a774,,9.356812792126307,5.512917322475515,1.939563957625369,13.430062642238852,8665.776762258913,58.27590916245659,1267175.168331218,5.512917322475515,1.939563957625369,13.430062642238852,0.7955262286348486,,,,,5.512917322475515,11576.43
13332,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TDS,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,grain corn,204.1975,204.1975,,0.03242,0,0,,,0,,,TDS,,,2.62718420703775,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,181,57,138,Siphon,PE_eb5dff43057b7e2458f6,CO_78534629428404a7c115,,9.356812792126307,11.223909838101978,4.517184235909948,26.083375385125574,8665.776762258913,58.27590916245659,1267175.168331218,11.223909838101978,4.517184235909948,26.083375385125574,0.7955262286348486,,,,,11.223909838101978,11576.43
