Year,Treatment,Analyte,AnnualLoad_kg,n_replicate_plots,n_physical_events,AnnualLoad_mg,central_estimate_type
2011,CT,ICP,0.021889410574510246,2,12,21889.410574510246,mean_of_replicate_annual_plot_totals
2011,CT,NH4,0.03409253173325797,2,12,34092.53173325797,mean_of_replicate_annual_plot_totals
2011,CT,NO2,0.04682298444351518,2,12,46822.98444351518,mean_of_replicate_annual_plot_totals
2011,CT,NO3,0.5806910865288224,2,12,580691.0865288224,mean_of_replicate_annual_plot_totals
2011,CT,NOx,0.3012745918072581,2,12,301274.5918072581,mean_of_replicate_annual_plot_totals
2011,CT,NPOC,0.2904915971349597,2,12,290491.5971349597,mean_of_replicate_annual_plot_totals
2011,CT,OP,0.019337411446932448,2,12,19337.41144693245,mean_of_replicate_annual_plot_totals
2011,CT,Se,0.028820052586620917,2,12,28820.052586620917,mean_of_replicate_annual_plot_totals
2011,CT,TDS,0.18499387361973113,2,12,184993.87361973114,mean_of_replicate_annual_plot_totals
2011,CT,TKN,0.39125750672154874,2,12,391257.50672154874,mean_of_replicate_annual_plot_totals
2011,CT,TN,0.36855747690708873,2,12,368557.4769070887,mean_of_replicate_annual_plot_totals
2011,CT,TP,0.16945525062806777,2,12,169455.25062806776,mean_of_replicate_annual_plot_totals
2011,CT,TSP,0.033929296116116635,2,12,33929.29611611663,mean_of_replicate_annual_plot_totals
2011,CT,TSS,114.99699296365452,2,12,114996992.96365452,mean_of_replicate_annual_plot_totals
2011,MT,ICP,0.030190472250943647,2,12,30190.472250943647,mean_of_replicate_annual_plot_totals
2011,MT,NH4,0.045085065109864444,2,12,45085.065109864445,mean_of_replicate_annual_plot_totals
2011,MT,NO2,0.06186581929964043,2,12,61865.81929964043,mean_of_replicate_annual_plot_totals
2011,MT,NO3,0.7763807732991324,2,12,776380.7732991324,mean_of_replicate_annual_plot_totals
2011,MT,NOx,0.34245180456204527,2,12,342451.80456204526,mean_of_replicate_annual_plot_totals
2011,MT,NPOC,0.3378106114259696,2,12,337810.6114259696,mean_of_replicate_annual_plot_totals
2011,MT,OP,0.02981194549134968,2,12,29811.945491349677,mean_of_replicate_annual_plot_totals
2011,MT,Se,0.03820337787987209,2,12,38203.37787987209,mean_of_replicate_annual_plot_totals
2011,MT,TDS,0.21763534752955563,2,12,217635.34752955564,mean_of_replicate_annual_plot_totals
2011,MT,TKN,0.4399596765398395,2,12,439959.6765398395,mean_of_replicate_annual_plot_totals
2011,MT,TN,0.49861554515385687,2,12,498615.54515385686,mean_of_replicate_annual_plot_totals
