Year,Treatment,Analyte,mean,median,low,high,n_draws,point_total_mg
2011,CT,ICP,30273.756649469717,25292.97389876106,14749.84700186329,72705.53234605382,2000,21889.410574510246
2011,CT,NH4,51996.80578977838,43555.4223577032,23592.0125570148,134048.68331687455,2000,34092.53173325797
2011,CT,NO2,64319.787523768,56181.13639832866,32233.65819011004,154871.32370183524,2000,46822.98444351518
2011,CT,NO3,628662.1724670121,597266.1006920198,515407.96526029357,935794.3110238493,2000,580691.0865288224
2011,CT,NOx,350765.30905988836,325495.6690150695,254855.03746788987,587847.5726017518,2000,301274.5918072581
2011,CT,NPOC,336855.508346394,313999.1573894414,243289.0567722058,593563.8950448247,2000,290491.5971349597
2011,CT,OP,28260.643817854703,23243.765648518955,13130.204577823883,74328.66256857356,2000,19337.41144693245
2011,CT,Se,44545.10142937515,36481.730003876975,19497.70904174424,121664.28304254201,2000,28820.052586620917
2011,CT,TDS,217301.77501019518,202294.18470195332,152037.50696486008,365874.50008613995,2000,184993.87361973114
2011,CT,TKN,451983.8823682257,420625.704842769,328445.3914519347,784712.4199883196,2000,391257.50672154874
2011,CT,TN,395725.1986487835,378082.50372725923,331701.95562917966,553353.6308899707,2000,368557.4769070887
2011,CT,TP,186081.87865975525,175159.72178818568,148572.6992793749,291645.29601708153,2000,169455.25062806776
2011,CT,TSP,50099.681855454604,42228.03343109459,23018.369030467395,117877.62929364212,2000,33929.29611611663
2011,CT,TSS,118615245.43281661,115676108.19559723,107107292.79537678,157676682.07709956,2000,114996992.96365452
2011,MT,ICP,42250.50348048125,34991.59977755902,20412.383886622294,103846.16467256137,2000,30190.472250943647
2011,MT,NH4,70618.51424898683,58326.22944991291,31406.4319145764,171712.09293195693,2000,45085.065109864445
2011,MT,NO2,89943.78044564853,76282.1933945062,43758.51995542305,207034.95864150452,2000,61865.81929964043
2011,MT,NO3,890274.019036651,828370.7653323703,675123.7112442717,1552542.6365255218,2000,776380.7732991324
2011,MT,NOx,419242.2469554151,385522.91698729235,284671.50853317004,753264.4556825635,2000,342451.80456204526
2011,MT,NPOC,412225.99415606307,379529.2078376155,272704.93317984266,769812.0515862362,2000,337810.6114259696
2011,MT,OP,43533.09111759704,35533.3432524122,20256.28393026625,126195.70187280016,2000,29811.945491349677
2011,MT,Se,61861.465730032185,51392.939607125925,25972.21788776404,172126.00773213286,2000,38203.37787987209
2011,MT,TDS,273908.8958952609,248080.46278663835,174201.08783667829,517340.52555413725,2000,217635.34752955564
2011,MT,TKN,543422.9572245256,493456.50746295985,360902.9816880243,1032835.194162761,2000,439959.6765398395
2011,MT,TN,556674.635938122,525669.5962600645,422859.87532239937,942185.4364239159,2000,498615.54515385686
2011,MT,TP,204001.3111702566,187601.84299107594,148063.5576989844,376938.1103765057,2000,174292.1713122434
2011,MT,TSP,70651.25024412705,59633.089051070834,32828.52817964717,196256.06733533347,2000,44953.284319016995
2011,MT,TSS,150185149.67760336,142494659.12121442,122395110.11984636,247095242.0931122,2000,138036395.711537
2011,ST,ICP,36474.97210897534,29336.499351910417,17426.77708784462,94898.555436607,2000,24072.751935396645
2011,ST,NH4,63620.37773354311,52515.509086023594,25067.944989021176,170667.8020498779,2000,39158.64617918606
2011,ST,NO2,82936.35670165256,71004.37377917158,39196.47018522315,220420.0567667035,2000,57502.043887049615
2011,ST,NO3,902871.4794166803,870353.085869144,764141.3899558327,1277845.391035755,2000,849410.4619989974
2011,ST,NOx,482988.4023573693,450186.8555359303,348553.51735389436,859088.6275916026,2000,418888.0008930962
2011,ST,NPOC,454569.6025162703,424481.9552523949,325755.8896224318,746388.0990715676,2000,396976.44902013964
2011,ST,OP,36095.55648476196,29276.29416005587,17151.992843623004,91475.69904828061,2000,23563.998125818853
2011,ST,Se,58006.55685456547,47603.12123708549,22226.524106748915,159236.9965637335,2000,35969.843344542576
2011,ST,TDS,313893.6630720457,287936.46170046437,207889.11111554716,609129.9095748358,2000,265352.6459106408
2011,ST,TKN,550693.7297736548,516410.65822434385,400736.40337287093,867524.5532922499,2000,483526.6590726927
2011,ST,TN,479609.80099523714,461382.6026262955,397896.2053320411,722939.1148411751,2000,447890.4796850095
2011,ST,TP,190356.31049127696,181277.1542378788,152598.77406700017,274157.97667508974,2000,175782.92947157918
2011,ST,TSP,63196.304581467404,52360.31699801887,25676.320542254874,166655.17722522188,2000,39047.589333697324
2011,ST,TSS,128689825.99836126,127918577.08457711,124498693.52120167,135747028.20908362,2000,127768817.83323595
2012,CT,ICP,37070.615631786604,31536.530295403474,20523.66114611535,82157.10696371295,2000,27953.57210540228
2012,CT,NH4,53228.5713610366,45992.037552033384,27536.93087414198,123227.47510390457,2000,36591.62535589598
2012,CT,NO2,54588.57926653652,48786.90191470424,29337.779094836354,128580.39267052244,2000,39177.99321396328
2012,CT,NO3,587894.2469091276,566933.3986028475,510224.6001121418,834493.4053238917,2000,552625.7496403084
2012,CT,NOx,324224.39007309073,303569.1149740678,237339.6296024527,544916.8325681967,2000,278474.5850037093
2012,CT,NPOC,323737.9980284396,301808.71353715507,234096.03118701722,568100.8904839378,2000,275192.2881607779
2012,CT,OP,32639.255476157512,28216.18606023347,18381.920641938224,72703.58874097386,2000,25017.43328107176
2012,CT,Se,41451.1414132519,35187.28942866862,19076.184533498392,107974.0689632311,2000,26028.559390218543
2012,CT,TDS,206726.86789894223,194160.3745310738,147664.10788354304,359510.69330618787,2000,175533.31233093576
2012,CT,TKN,401770.00020871876,379143.43364837085,300617.9981970744,679792.7310765447,2000,346481.4446022612
2012,CT,TN,275690.67267258256,260590.70723476348,220148.758980617,453384.8910164202,2000,251307.97603325645
2012,CT,TP,165674.34405811227,158029.62767640394,138724.2120707056,234123.10657037282,2000,153367.90746067002
2012,CT,TSP,52014.93332954429,46309.36981767106,27411.606610451126,115386.10753649434,2000,36541.69486986827
2012,CT,TSS,103070315.91336547,99443480.3118293,86592518.76975413,156823907.65763777,2000,97990678.48614384
2012,MT,ICP,59221.11182298526,52537.44388473717,36553.6151768209,115265.35859480334,2000,49156.95249070426
2012,MT,NH4,83788.61207164761,72869.95555693076,43213.761301755265,180107.51714933827,2000,58887.32971244433
2012,MT,NO2,101369.25228419362,88860.36702377416,55091.507132588325,221816.58187655776,2000,75117.84270717161
2012,MT,NO3,1045052.7207003469,1017590.4139174754,938304.4164386375,1349157.6527318473,2000,998215.8650541564
2012,MT,NOx,417570.7901906138,389946.3048972057,302044.2783923018,703979.4156756654,2000,356533.1494301434
2012,MT,NPOC,410442.5981162467,384764.5418440491,296709.5659752179,670626.3205486769,2000,352098.9728260452
2012,MT,OP,55744.76220204111,47308.28355464259,32308.484862906087,125497.31900760412,2000,43361.50986587064
2012,MT,Se,74464.91318931585,65208.681947248086,36847.29006890652,177994.09962469354,2000,51571.611173262136
2012,MT,TDS,278436.5130773816,251803.05249265846,184799.4764659721,545076.362295436,2000,228071.3182038797
2012,MT,TKN,572604.582826768,529505.8231054972,408266.991272098,991135.5480452192,2000,487160.03840473806
2012,MT,TN,388016.69450326846,371240.7196869056,318463.608741325,560146.989804679,2000,360767.64571678446
2012,MT,TP,214342.84326740302,203433.7117749274,171173.7054296718,325074.42906061123,2000,196619.7213416613
2012,MT,TSP,82932.41987770855,72816.94348134266,43435.47636559883,186150.93674860464,2000,58694.02008698605
2012,MT,TSS,106581350.16982198,102961271.63662708,90959832.18563166,151949299.38408336,2000,100693289.08241147
2012,ST,ICP,39852.909078236444,34844.696363144845,23555.934701477454,89262.91302332739,2000,30473.625894884965
2012,ST,NH4,59249.352979450014,51190.0791078413,30155.317230954075,146615.02326825488,2000,40138.40475476245
2012,ST,NO2,70647.55471565192,62747.89797674991,39578.44098889778,155761.813412517,2000,51298.07198619592
2012,ST,NO3,700310.2046551543,670898.6497351675,590483.2736281233,1052684.769435171,2000,643397.4717208376
2012,ST,NOx,306826.93726116524,284781.61615525116,219229.4004813248,583304.4495440975,2000,256163.70712717806
2012,ST,NPOC,295770.136396371,276895.59878723224,212389.40852079465,491824.52075280953,2000,248690.03793963775
2012,ST,OP,32397.358287745705,27439.753102892166,16608.85362007331,75360.36527724165,2000,23676.938142421288
2012,ST,Se,54111.664427089934,46555.13032849183,28124.98823807339,136409.4319351341,2000,36035.41532095114
2012,ST,TDS,201554.2140340252,185923.17792071676,138274.21189339668,375515.66522900795,2000,164862.5059911577
2012,ST,TKN,421499.41261384345,394240.37559472094,304468.75560272567,723888.0746519752,2000,355725.6401616485
2012,ST,TN,237896.17992810067,225050.05546610095,190799.6135204237,359463.7866810057,2000,214216.4598892111
2012,ST,TP,183563.04466909196,176037.44786110544,153031.07210072732,247651.85194273965,2000,168603.06645531298
2012,ST,TSP,59761.6383570033,51725.50557994547,30796.252281284433,140092.05690368812,2000,40091.69964002807
2012,ST,TSS,80064682.10078721,77225501.5169869,70281973.43789028,122880286.37157139,2000,75990347.74807999
2013,CT,ICP,37791.21448384889,30034.39277041095,13601.041647751068,102204.36807186855,2000,24591.647754766756
2013,CT,NH4,59451.39364783106,49613.51570811933,26094.206979318,146655.4720206233,2000,36899.946111394354
2013,CT,NO2,58326.02321113154,47929.82849770595,24856.085230978202,159148.83166694606,2000,36423.37547120216
2013,CT,NO3,775615.5549819465,735267.4128083652,629175.603570985,1240779.3665807606,2000,707095.0393896971
2013,CT,NOx,421242.7565188561,384365.6496630878,285447.60744418285,784596.6861232014,2000,348829.09448771435
2013,CT,NPOC,429421.24933553435,392661.5843262052,294516.25541245093,795765.7971270697,2000,354962.86170123256
2013,CT,OP,37776.647533079355,29251.681916252426,11496.589390879533,117381.55826421779,2000,16696.156801034755
2013,CT,Se,45378.02462062528,37217.192630168574,16442.226779043653,127860.89632724883,2000,25127.840809325204
2013,CT,TDS,269960.6031630968,243576.97309884004,174855.0127004565,531600.4625455617,2000,217524.12782827156
2013,CT,TKN,570430.1770598973,533607.0355376995,438407.173117419,958443.3980416564,2000,505228.99214937957
2013,CT,TN,419518.7634069278,383534.74550376204,291056.0434022798,766912.6298378238,2000,348657.75351528305
2013,CT,TP,92457.59044445281,83025.94475401661,60587.48291979424,173089.81144304248,2000,77542.33358093354
2013,CT,TSP,60126.297347822474,49644.39920101402,24984.895655955566,166927.15443771667,2000,36704.488831752984
2013,CT,TSS,154931183.3891666,148585884.16936296,130723346.82016672,231245133.96128836,2000,144191012.10146627
2013,MT,ICP,46781.85333634131,37772.534787850964,18536.454589728102,131373.07611828813,2000,29425.734520540438
2013,MT,NH4,74538.37301351575,63457.2524607587,33032.654495750845,209118.7764336837,2000,46259.6306277846
2013,MT,NO2,79073.46304554341,67073.2076144043,37947.217710939614,197067.8921005364,2000,51112.5059485382
2013,MT,NO3,1049254.7408624466,990831.8494972643,844283.5804950935,1651147.979320335,2000,936410.4123789971
2013,MT,NOx,536446.5842043736,490637.84864618815,373980.6876487915,1025216.3037869256,2000,438548.9869770056
2013,MT,NPOC,513360.1016046669,466075.66268606565,349922.8034070407,988385.067526783,2000,420935.6127330353
2013,MT,OP,43677.7726600237,31645.705963634144,11040.941621749043,175508.593019048,2000,14368.141107553149
2013,MT,Se,58837.63608660342,46181.685914643305,21141.057473937475,171652.49073583313,2000,29403.910297728104
2013,MT,TDS,329243.09318317444,298499.7702199009,217342.90934303083,676781.3038918682,2000,264732.9908589866
2013,MT,TKN,757383.7674506364,699503.3629028504,560358.7813082717,1302145.021878144,2000,655508.7217556313
2013,MT,TN,501500.78272240655,459239.1426407838,349150.83596420585,934499.6354432878,2000,412678.0813982773
2013,MT,TP,99724.34870863306,89492.62881042121,62848.27031535723,186046.2656977963,2000,79730.39246268332
2013,MT,TSP,75139.82171384571,63903.27852240623,33212.68493569861,200380.7599756374,2000,46133.45396618057
2013,MT,TSS,157488843.51687494,149769358.88330537,129940803.23104753,242568832.0603895,2000,143302682.17694995
2013,ST,ICP,33137.21498102011,25244.584661737812,11454.86606429719,101877.55440686343,2000,20541.267145370744
2013,ST,NH4,50693.955687193906,41707.59888645695,20381.555309056217,133362.41902356935,2000,30601.878433377802
2013,ST,NO2,57451.442634116625,48384.27096633018,23914.469994954492,145662.0441327046,2000,36667.14274291877
2013,ST,NO3,798262.6338599973,764048.013085675,675647.4634309721,1155756.3704441665,2000,745798.554497104
2013,ST,NOx,372732.3225047097,341107.6552094921,253823.69682844004,669063.1679258641,2000,312636.5105663279
2013,ST,NPOC,345211.69292091986,315394.5495774178,231415.6411909898,666743.5754960139,2000,287441.8633336935
2013,ST,OP,28223.88329388438,20845.370309156067,6057.800561673074,93638.59248789996,2000,8989.814473152259
2013,ST,Se,41846.942702121516,31841.27025705912,12404.276546979027,137808.74417535798,2000,20284.940917655385
2013,ST,TDS,232575.23115740076,208941.94522972408,149591.01441319622,463268.2353996839,2000,189540.01720258268
2013,ST,TKN,519565.2856847703,486131.2977268675,398686.32834615064,889760.1558573099,2000,464566.959411893
2013,ST,TN,328171.1539246793,299579.05395347794,223140.0474902306,634208.4469797418,2000,274681.83367104153
2013,ST,TP,53004.69258229693,46456.734748011884,25870.227350066772,122634.17791065997,2000,41549.7184757877
2013,ST,TSP,51454.29863769108,42008.17285558816,20347.110290688153,154342.0046141007,2000,30461.684856153788
2013,ST,TSS,69738127.07188694,64911100.44397427,52412505.74782393,118330866.83513476,2000,62815787.937476315
2014,CT,ICP,83921.06782799256,77320.64523224256,51452.27178708093,152844.58498181214,2000,60218.92657128427
2014,CT,NH4,75095.83394196036,68726.6914255697,43279.785024563826,143142.5431800523,2000,51585.01820443231
2014,CT,NO2,66449.40594673056,60032.02509579908,39035.2919775315,126779.9526242794,2000,48044.43118873319
2014,CT,NO3,1242523.079158998,1214111.5793331037,1136862.9851517621,1548770.6192338308,2000,1201150.0744017994
2014,CT,NOx,826262.2256523093,800224.0168784489,670441.0969711251,1100993.0565552125,2000,720470.4724324667
2014,CT,NPOC,958765.9765364084,929857.5443306068,778192.4132295308,1273054.842999974,2000,840517.5790468653
2014,CT,OP,31193.126810978185,25865.231034509845,18117.21030697844,80910.79708543827,2000,22916.681066083354
2014,CT,Se,54431.95978870177,47447.060559354446,27308.71974870479,122534.65301980758,2000,33998.21884938591
2014,CT,TDS,586846.6585800406,567133.6580262496,469189.972413169,812008.84535981,2000,508260.3785984936
2014,CT,TKN,742873.6495609091,719118.1082005922,630096.1033315919,1012955.573191853,2000,675797.9312242637
2014,CT,TN,923964.9319618228,901037.2047507124,844604.43707897,1178561.415852319,2000,888148.6211550321
2014,CT,TP,179581.21723754043,171742.23248024087,152829.0864306034,253094.35845539148,2000,169361.54583250874
2014,CT,TSP,67918.72893836215,63749.14206051422,44614.132824001856,115812.82865026155,2000,53773.83483632207
2014,CT,TSS,173233030.5078978,170315919.7992023,163031819.3966249,207877921.252413,2000,168397693.8835491
2014,MT,ICP,37495.616840213865,30482.629610071428,14581.655836773516,103209.29805514959,2000,25069.888735437886
2014,MT,NH4,36230.30885405796,28360.712128171544,12812.976718734726,101143.38770381114,2000,22814.33719455785
2014,MT,NO2,37780.01930482326,29483.893147081464,13158.8096104296,105259.50567145507,2000,24012.972422855215
2014,MT,NO3,430784.6739841266,388016.470871296,278641.7806819776,905621.6920834188,2000,363000.09597983403
