_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,ObservationDate,DayOfYear,DaysSincePlant,DaysUntilHarvest,IrrigationInfrastructure,PhysicalEventID,ConcentrationObservationID,EventDate,y_logC,y_logV,Result_mg_L_model_pred,Result_mg_L_model_pi_low,Result_mg_L_model_pi_high,Volume_model_pred,Volume_model_pi_low,Volume_model_pi_high,Result_mg_L_pred,Result_mg_L_pi_low,Result_mg_L_pi_high,q_conformal_logC,Volume_pred,Volume_pi_low,Volume_pi_high,q_conformal_logV,Result_mg_L_filled,Volume_filled
0,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",OrthoP,0.064,0.01,,55761.14,True,0.34,0.75,MG/L,EPA300.0 [300OPHOS]_W,0.34,0.75,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,0.064,0.75,0,0.01,0.75,OP,-0.3723332997387324,-0.2704658744587053,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_5feceb66ffc86f38d952,2011-06-30,0.06203539091945264,9.356812792126307,0.14165864340938128,0.0,1.361531852218306,11400.779088554353,1069.3363811465815,121456.67318955758,,,,,,,,,0.064,11576.43
1111,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalP,1.431,0.077,,55761.14,True,0.033,0.05,MG/L,EPA365.2 [365.2TPHOS]_W,0.033,0.05,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,1.431,0.05,0,0.077,0.05,TP,0.1033295072466362,0.5754085287933446,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_0ffe1abd1a08215353c2,2011-06-30,0.8883026953339863,9.356812792126307,1.4640558844956657,0.19122284788821628,4.096923226985881,11400.779088554353,1069.3363811465815,121456.67318955758,,,,,,,,,1.431,11576.43
2222,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",ICP,0.117,0.033,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,0.117,,0,0.033,,ICP,-0.3240401738550796,2.191986497404764,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_edee29f882543b956620,2011-06-30,0.11064652008706366,9.356812792126307,0.16178313613755538,0.0,1.40315955841724,11400.779088554353,1069.3363811465815,121456.67318955758,,,,,,,,,0.117,11576.43
3333,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TKN,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,TKN,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_318aee3fed8c9d040d35,2011-06-30,,9.356812792126307,5.316416962452368,2.053607773186518,12.065569060273358,11400.779088554353,1069.3363811465815,121456.67318955758,5.316416962452368,2.053607773186518,12.065569060273358,0.7268283430420093,,,,,5.316416962452368,11576.43
4444,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrate,8.567,6.4,,55761.14,True,0.19,0.2,MG/L,EPA300.0 [300Nitrate]_W,0.19,0.2,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,8.567,0.2,0,6.4,0.2,NO3,0.6314727908766592,0.1077516680296207,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_79f06f8fde333461739f,2011-06-30,2.25831967669603,9.356812792126307,8.208376815540833,3.4516964585328456,18.047615749824892,11400.779088554353,1069.3363811465815,121456.67318955758,,,,,,,,,8.567,11576.43
5555,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Nitrite,,,,55761.14,False,0.11,0.15,MG/L,EPA300.0 [300Nitrite]_W,0.11,0.15,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,0.15,0,,0.15,NO2,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_c1f330d0aff31c1c8740,2011-06-30,,9.356812792126307,0.48785166423645926,0.0,2.077635435735486,11400.779088554353,1069.3363811465815,121456.67318955758,0.48785166423645926,0.0,2.077635435735486,0.7268283430420093,,,,,0.48785166423645926,11576.43
6666,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",NitrateNitrite,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,NOx,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_d7697570462f7562b83e,2011-06-30,,9.356812792126307,3.9980192610551066,1.4162417644082028,9.338450771707482,11400.779088554353,1069.3363811465815,121456.67318955758,3.9980192610551066,1.4162417644082028,9.338450771707482,0.7268283430420093,,,,,3.9980192610551066,11576.43
7777,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TotalN,12.703,7.36,,55761.14,True,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,12.703,,0,7.36,,TN,1.6886665960088894,0.4953991785653859,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_41c991eb6a66242c0454,2011-06-30,2.617614786964064,9.356812792126307,11.778700584915743,5.177733305017873,25.43286470561771,11400.779088554353,1069.3363811465815,121456.67318955758,,,,,,,,,12.703,11576.43
8888,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",Ammonium(NH4),,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,NH4,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_2926a2731f4b312c0898,2011-06-30,,9.356812792126307,0.32158284772264956,0.0,1.7337067942849917,11400.779088554353,1069.3363811465815,121456.67318955758,0.32158284772264956,0.0,1.7337067942849917,0.7268283430420093,,,,,0.32158284772264956,11576.43
9999,2011-06-30,2011,1,1,CT,OUT,CT1-01-OT,False,AC,False,,False,11576.43,GBW,Transducer,Siphon,Weir,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDS: CT1-T1, CT1-T2, CT1-T3. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.",TSP,,,,55761.14,False,,,,,,,CSU_assumed_from_ALS_pre2023,True,2011-05-04,2011-11-15,2011,grain corn,,grain corn,204.1975,204.1975,,True,0.0,,0.03242,0,0,,,0,,,TSP,,,1.260271787488646,-1.1837220442008272,-0.954726883833073,-1.3151477727398646,-1.4059628623185925,,1,2011-06-30,181,57,138,Siphon,PE_8372856d847ab29e3d55,CO_888df25ae35772424a56,2011-06-30,,9.356812792126307,0.3213608168681176,0.0,1.7332475213331517,11400.779088554353,1069.3363811465815,121456.67318955758,0.3213608168681176,0.0,1.7332475213331517,0.7268283430420093,,,,,0.3213608168681176,11576.43
