Year,Treatment,Analyte,mean,median,low,high,n_draws
2011,CT,ICP,29159.909796534455,26499.36797352345,5427.213848775332,68683.54297390919,2000
2011,CT,Nitrate,461445.32094497443,432728.1894105652,209169.9270107152,843097.3301308161,2000
2011,CT,OrthoP,25098.273411197093,22504.19236246088,3215.9221046639304,61697.96719284081,2000
2011,CT,TSS,57085974.546249874,55255962.646592,31824464.64450166,90470032.85481748,2000
2011,CT,TotalN,191988.25215501912,182702.05261373153,86062.51353714518,359754.5370197362,2000
2011,CT,TotalP,86564.4940877023,82686.83677580158,31746.10743780348,170033.90783643868,2000
2011,MT,ICP,4810.415556230406,3916.1288568645573,0.0,13922.918977239093,2000
2011,MT,Nitrate,87748.91443084537,80411.60958033905,30576.632691271407,187990.86217042967,2000
2011,MT,OrthoP,4005.0025535161567,3243.8003478901232,0.0,12483.12885863009,2000
2011,MT,TSS,7932408.5392377535,7657762.399526173,3823488.216457599,13680631.115101326,2000
2011,MT,TotalN,37539.05405308157,33952.317078561595,11874.843991012935,80970.04693635133,2000
2011,MT,TotalP,11998.633292244169,10571.925755507395,2365.885194499828,30228.187170978792,2000
2011,ST,ICP,8338.925900654858,7168.836317716579,706.9382755476325,22712.261678964886,2000
2011,ST,Nitrate,171161.05976317672,158583.40609637595,74926.56380414583,335900.5661128142,2000
2011,ST,OrthoP,8583.792313885513,7351.734385194897,660.382681696169,23017.24499497918,2000
2011,ST,TSS,14867745.305955218,14449483.418104036,8720328.581715418,23190676.706687767,2000
2011,ST,TotalN,54478.88086236414,50267.9258815309,21457.327852087175,106955.50078137279,2000
2011,ST,TotalP,19763.34299811821,17897.410820229612,4916.466520441326,45287.27155706881,2000
2012,CT,ICP,125190.57050461712,117896.05010688507,42437.19117911776,247355.3594604958,2000
2012,CT,Nitrate,1375479.2998061609,1344102.845360605,700279.9218199006,2260173.805061424,2000
2012,CT,OrthoP,74389.31024451462,69018.90265157023,15089.94783227481,163039.58828447023,2000
2012,CT,TSS,132007621.3201296,129728563.49842447,76048822.41775355,203319280.8644361,2000
2012,CT,TotalN,1864518.3500514503,1792239.4511508662,938305.9067745382,3187207.019739346,2000
