Target,Year,n,coverage
Result_mg_L,2011,126,0.8174603174603174
Result_mg_L,2012,174,0.764367816091954
Result_mg_L,2013,90,0.8222222222222222
Result_mg_L,2014,222,0.7657657657657657
Result_mg_L,2015,397,0.8664987405541562
Result_mg_L,2016,216,0.875
Result_mg_L,2017,324,0.7592592592592593
Result_mg_L,2020,246,0.8861788617886179
Result_mg_L,2021,539,0.7773654916512059
Result_mg_L,2022,577,0.7850953206239168
Result_mg_L,2023,928,0.7306034482758621
Result_mg_L,2024,646,0.7786377708978328
Result_mg_L,2025,1003,0.7018943170488534
Volume_L,2011,27,0.2962962962962963
Volume_L,2012,49,0.673469387755102
Volume_L,2013,32,0.90625
Volume_L,2014,41,0.7804878048780488
Volume_L,2015,36,0.9444444444444444
Volume_L,2016,12,1.0
Volume_L,2017,82,0.6707317073170732
Volume_L,2020,14,0.42857142857142855
Volume_L,2021,35,0.7428571428571429
Volume_L,2023,128,0.90625
Volume_L,2024,54,0.37037037037037035
Volume_L,2025,134,0.9850746268656716
