Year_Test,Target,n_test,MAE,RMSE,R2,q_conformal,coverage,mean_interval_width_log,n_calibration,mode,calibration
2011,logC,126,0.4254975272057744,0.5960011379874736,0.9520068934661104,0.7338430610835038,0.8174603174603174,1.4676861221670081,1341,reconstruction,random
2012,logC,174,0.5338881261003917,0.7452973507635589,0.9186329117676028,0.7185070917611538,0.764367816091954,1.4370141835223078,1329,reconstruction,random
2013,logC,90,0.43902372737372225,0.6017820118392717,0.9323028188231016,0.6927311449454554,0.8222222222222222,1.3854622898909106,1350,reconstruction,random
2014,logC,222,0.49932890860918533,0.7465335279695107,0.8876773737121029,0.7376718411607709,0.7657657657657657,1.4753436823215422,1317,reconstruction,random
2015,logC,397,0.3679995792878959,0.7203676160728922,0.8677323664086145,0.6696370450681445,0.8664987405541562,1.3392740901362892,1273,reconstruction,random
2016,logC,216,0.3754360269731602,0.5580639472586301,0.9123836873091371,0.7060292417541453,0.875,1.4120584835082906,1318,reconstruction,random
2017,logC,324,0.4997402224922488,0.7799745144925043,0.9163244092942155,0.723559328037926,0.7592592592592593,1.4471186560758518,1291,reconstruction,random
2020,logC,246,0.37235831532568525,0.5484005742610284,0.9131288304865606,0.6820100940078657,0.8861788617886179,1.3640201880157314,1311,reconstruction,random
2021,logC,539,0.35601250739989365,0.5891836228045606,0.9305770068827277,0.6462468252926065,0.7773654916512059,1.2924936505852127,1238,reconstruction,random
2022,logC,577,0.4673604715292353,0.6634158454064417,0.8803044569229894,0.7160620182757494,0.7850953206239168,1.4321240365514991,1228,reconstruction,random
2023,logC,928,0.5431207611402341,0.7827652303755277,0.9266115242087618,0.652226826524221,0.7306034482758621,1.3044536530484423,1140,reconstruction,random
2024,logC,646,0.4371588294327287,0.5967844728303535,0.9584554349290036,0.6728449679608559,0.7786377708978328,1.3456899359217118,1211,reconstruction,random
2025,logC,1003,0.6394569849417538,0.8831839870922533,0.9081354995306835,0.7351289296014452,0.7018943170488534,1.47025785920289,1122,reconstruction,random
2011,logV,27,1.5849609330305545,1.751688217238398,-6.256061546308777,1.077603760206095,0.2962962962962963,2.1552075204121905,155,reconstruction,random
2012,logV,49,2.295176539722504,4.0607822496354435,-0.12481698156770094,1.1651070510611248,0.673469387755102,2.330214102122248,149,reconstruction,random
2013,logV,32,0.8267552520832324,0.9246376848162784,-0.5433048911965428,1.4325726352769355,0.90625,2.865145270553871,153,reconstruction,random
2014,logV,41,1.5410430406096094,2.97574935577772,0.04454295648627471,1.2117533271102854,0.7804878048780488,2.4235066542205708,151,reconstruction,random
2015,logV,36,0.52852109291593,0.7613152020482944,0.16410437654115206,1.6436829747108048,0.9444444444444444,3.2873659494216096,152,reconstruction,random
2016,logV,12,0.9447618140542448,1.039159924294343,-0.022066068665006933,2.0588988198880225,1.0,4.117797639776044,158,reconstruction,random
2017,logV,82,0.8965733339050835,1.0915345331882191,0.1403705941644251,0.9684893491853597,0.6707317073170732,1.9369786983707193,141,reconstruction,random
2020,logV,14,1.0189986081920028,1.1682570671589603,-0.16007315727070814,1.0903087839989583,0.42857142857142855,2.180617567997917,158,reconstruction,random
2021,logV,35,1.1923952226113752,1.4754707597185572,-1.0916902080613067,1.644076733385155,0.7428571428571429,3.2881534667703107,153,reconstruction,random
2023,logV,128,0.8352067476030673,0.9737240257371137,-3.7016035546948514,1.5553462035662853,0.90625,3.1106924071325723,129,reconstruction,random
2024,logV,54,1.6233447412605495,1.7241318873095908,-10.009579072773652,1.5400286347603624,0.37037037037037035,3.0800572695207253,148,reconstruction,random
2025,logV,134,0.8880940713763386,1.0129449920546836,-1.3778346175353957,1.678907509797069,0.9850746268656716,3.3578150195941383,128,reconstruction,random
