Year,Treatment,Analyte,AnnualLoad_kg,n_physical_events,AnnualLoad_mg,central_estimate_type
2011,CT,ICP,0.041881651388815305,12,41881.651388815306,sum_of_physical_event_point_loads
2011,CT,NH4,0.048602422725734284,12,48602.422725734286,sum_of_physical_event_point_loads
2011,CT,NO2,0.07102591599809556,12,71025.91599809556,sum_of_physical_event_point_loads
2011,CT,NO3,0.9895459614901383,12,989545.9614901383,sum_of_physical_event_point_loads
2011,CT,NOx,0.7041580887215078,12,704158.0887215078,sum_of_physical_event_point_loads
2011,CT,NPOC,0.7418244831753309,12,741824.4831753309,sum_of_physical_event_point_loads
2011,CT,OP,0.035287182208127876,12,35287.18220812787,sum_of_physical_event_point_loads
2011,CT,Se,0.04046207414455519,12,40462.07414455519,sum_of_physical_event_point_loads
2011,CT,TDS,1.540975577099717,12,1540975.5770997172,sum_of_physical_event_point_loads
2011,CT,TKN,0.6909679426073044,12,690967.9426073044,sum_of_physical_event_point_loads
2011,CT,TN,0.6133304385979474,12,613330.4385979475,sum_of_physical_event_point_loads
2011,CT,TP,0.258360410629994,12,258360.41062999397,sum_of_physical_event_point_loads
2011,CT,TSP,0.04842392364766434,12,48423.92364766434,sum_of_physical_event_point_loads
2011,CT,TSS,194.95983531066946,12,194959835.31066945,sum_of_physical_event_point_loads
2011,MT,ICP,0.049094276817402284,12,49094.276817402286,sum_of_physical_event_point_loads
2011,MT,NH4,0.059500058411623646,12,59500.05841162365,sum_of_physical_event_point_loads
2011,MT,NO2,0.09935424762415088,12,99354.24762415087,sum_of_physical_event_point_loads
2011,MT,NO3,1.3121600664279955,12,1312160.0664279955,sum_of_physical_event_point_loads
2011,MT,NOx,0.7669797678954352,12,766979.7678954352,sum_of_physical_event_point_loads
2011,MT,NPOC,0.8065720973115915,12,806572.0973115915,sum_of_physical_event_point_loads
2011,MT,OP,0.04896204703554655,12,48962.04703554655,sum_of_physical_event_point_loads
2011,MT,Se,0.06332958851388829,12,63329.58851388829,sum_of_physical_event_point_loads
2011,MT,TDS,1.6623787380566557,12,1662378.7380566557,sum_of_physical_event_point_loads
2011,MT,TKN,0.8026526658563711,12,802652.665856371,sum_of_physical_event_point_loads
2011,MT,TN,0.7358222803766907,12,735822.2803766907,sum_of_physical_event_point_loads
2011,MT,TP,0.29761694616320394,12,297616.9461632039,sum_of_physical_event_point_loads
2011,MT,TSP,0.05899801102691574,12,58998.011026915745,sum_of_physical_event_point_loads
