Year,Treatment,Analyte,AnnualLoad_kg,n_physical_events,AnnualLoad_mg,central_estimate_type
2011,CT,ICP,0.053020825156452574,12,53020.82515645257,sum_of_physical_event_point_loads
2011,CT,NH4,0.060767052211811896,12,60767.0522118119,sum_of_physical_event_point_loads
2011,CT,NO2,0.08667030071981649,12,86670.30071981649,sum_of_physical_event_point_loads
2011,CT,NO3,1.1669695017749895,12,1166969.5017749895,sum_of_physical_event_point_loads
2011,CT,NOx,0.862765717456414,12,862765.7174564139,sum_of_physical_event_point_loads
2011,CT,NPOC,0.9155327096651902,12,915532.7096651902,sum_of_physical_event_point_loads
2011,CT,OP,0.039014921006849994,12,39014.921006849996,sum_of_physical_event_point_loads
2011,CT,Se,0.05000841719703668,12,50008.41719703668,sum_of_physical_event_point_loads
2011,CT,TDS,1.899883673180422,12,1899883.673180422,sum_of_physical_event_point_loads
2011,CT,TKN,0.8459706746096719,12,845970.6746096719,sum_of_physical_event_point_loads
2011,CT,TN,0.742106879195192,12,742106.879195192,sum_of_physical_event_point_loads
2011,CT,TP,0.3607220725729996,12,360722.0725729996,sum_of_physical_event_point_loads
2011,CT,TSP,0.06054478115695616,12,60544.78115695616,sum_of_physical_event_point_loads
2011,CT,TSS,243.94883273150361,12,243948832.7315036,sum_of_physical_event_point_loads
2011,MT,ICP,0.05701869508672226,12,57018.69508672226,sum_of_physical_event_point_loads
2011,MT,NH4,0.07223215042717672,12,72232.15042717672,sum_of_physical_event_point_loads
2011,MT,NO2,0.12083807464632004,12,120838.07464632005,sum_of_physical_event_point_loads
2011,MT,NO3,1.5526386324331447,12,1552638.6324331446,sum_of_physical_event_point_loads
2011,MT,NOx,0.9292294444882871,12,929229.4444882872,sum_of_physical_event_point_loads
2011,MT,NPOC,0.9777516407200061,12,977751.6407200061,sum_of_physical_event_point_loads
2011,MT,OP,0.054012760469557594,12,54012.760469557594,sum_of_physical_event_point_loads
2011,MT,Se,0.0762016461120168,12,76201.6461120168,sum_of_physical_event_point_loads
2011,MT,TDS,2.015809120160378,12,2015809.120160378,sum_of_physical_event_point_loads
2011,MT,TKN,0.9833369559486593,12,983336.9559486593,sum_of_physical_event_point_loads
2011,MT,TN,0.9660673862915522,12,966067.3862915522,sum_of_physical_event_point_loads
2011,MT,TP,0.384128954004635,12,384128.954004635,sum_of_physical_event_point_loads
2011,MT,TSP,0.07162364104101249,12,71623.64104101248,sum_of_physical_event_point_loads
2011,MT,TSS,293.3777240625802,12,293377724.0625802,sum_of_physical_event_point_loads
2011,ST,ICP,0.059741084185378636,12,59741.08418537863,sum_of_physical_event_point_loads
2011,ST,NH4,0.07371302042470793,12,73713.02042470792,sum_of_physical_event_point_loads
2011,ST,NO2,0.09876401533388081,12,98764.0153338808,sum_of_physical_event_point_loads
2011,ST,NO3,1.7080879944324914,12,1708087.9944324915,sum_of_physical_event_point_loads
2011,ST,NOx,1.0330404808229863,12,1033040.4808229862,sum_of_physical_event_point_loads
2011,ST,NPOC,1.123207589736443,12,1123207.589736443,sum_of_physical_event_point_loads
2011,ST,OP,0.04432243401551877,12,44322.43401551877,sum_of_physical_event_point_loads
2011,ST,Se,0.06735746014082247,12,67357.46014082247,sum_of_physical_event_point_loads
2011,ST,TDS,1.9985437107335862,12,1998543.7107335862,sum_of_physical_event_point_loads
2011,ST,TKN,1.038739977081674,12,1038739.9770816742,sum_of_physical_event_point_loads
2011,ST,TN,0.9145907832086186,12,914590.7832086186,sum_of_physical_event_point_loads
