Year,Treatment,Analyte,mean,median,low,high,n_draws,point_total_mg
2011,CT,ICP,328292.96585320507,93140.1926197405,28083.42735804808,2243960.577852745,2000,41881.651388815306
2011,CT,NH4,392000.1467329823,104222.91054772655,32744.063746230328,2273477.292637162,2000,48602.422725734286
2011,CT,NO2,549983.7583635239,141779.38515616726,48797.363169199714,2839179.1254788693,2000,71025.91599809556
2011,CT,NO3,6275006.145675543,1646402.4725640116,767431.85785105,30455212.80530866,2000,989545.9614901383
2011,CT,NOx,4303631.367215974,1174463.739423126,570049.4236610872,20639356.983213454,2000,704158.0887215078
2011,CT,NPOC,4555276.168431961,1226447.5823285405,576755.0377228464,21497799.39672423,2000,741824.4831753309
2011,CT,OP,349651.92771576706,84939.52728404742,22675.48888179025,2537192.035185627,2000,35287.18220812787
2011,CT,Se,359944.9919075299,92539.92312582354,27975.861812397332,2588898.2524177353,2000,40462.07414455519
2011,CT,TDS,9451165.812554628,2559552.1258994155,1238959.4128544542,41943576.21287419,2000,1540975.5770997172
2011,CT,TKN,4359660.967037815,1139312.1192389778,546545.4082971327,19882481.64775395,2000,690967.9426073044
2011,CT,TN,3768807.2099034623,1020243.801088915,473515.92547512543,19542592.030975387,2000,613330.4385979475
2011,CT,TP,1683218.7513206187,454325.99545550486,205022.07406824428,8697998.073128419,2000,258360.41062999397
2011,CT,TSP,372959.8507538007,104660.87823351665,32962.86643498357,2455617.769620113,2000,48423.92364766434
2011,CT,TSS,1179465550.0614283,315594142.89811504,157811965.29056215,5464151209.959895,2000,194959835.31066945
2011,MT,ICP,385641.7888925301,111278.56300714254,31831.756165347033,2513539.621688528,2000,49094.276817402286
2011,MT,NH4,463948.98661491444,124914.90590774367,38679.75272859985,3131019.609148367,2000,59500.05841162365
2011,MT,NO2,655745.0166120412,180675.18545791478,67147.5264922152,3730099.7969162716,2000,99354.24762415087
2011,MT,NO3,7388144.934848653,2044375.4251741846,981407.1378551071,38948436.40687227,2000,1312160.0664279955
2011,MT,NOx,4400482.274909629,1208003.0794149977,580946.8054109922,22388962.52768927,2000,766979.7678954352
2011,MT,NPOC,4695595.87686015,1270701.2498234417,615279.503837713,22020371.470753953,2000,806572.0973115915
2011,MT,OP,442848.3130394886,108655.95631618155,30599.217668232377,3198171.90798028,2000,48962.04703554655
2011,MT,Se,495076.1798594113,133192.4502604553,41413.11301498452,3303155.451278741,2000,63329.58851388829
2011,MT,TDS,9277909.55850794,2567032.3797655664,1271817.5702768345,44508860.3646035,2000,1662378.7380566557
2011,MT,TKN,4482323.400141426,1259637.7419145324,606732.9313921343,21502210.788545564,2000,802652.665856371
2011,MT,TN,4319946.825610455,1169619.5635115167,533721.0163209499,23867446.780437976,2000,735822.2803766907
2011,MT,TP,1792407.947227487,490021.2751689072,221883.0065689432,9057746.392923372,2000,297616.9461632039
2011,MT,TSP,480303.8318309504,124836.30214920262,39265.38718089857,2918192.4584241,2000,58998.011026915745
2011,MT,TSS,999889407.1005628,276008742.5140443,135928426.04519194,4803449792.287856,2000,177470565.69537342
2011,ST,ICP,497353.3072816324,116612.46592973519,31323.856415541883,3685198.954725599,2000,49557.98087771862
2011,ST,NH4,545174.3737744507,125268.63554992735,38338.62365697366,3457169.886340281,2000,58667.375829960445
2011,ST,NO2,607287.9090779229,173473.59788281418,56039.96027062921,3756323.325732983,2000,82623.94877646897
2011,ST,NO3,8402245.590876738,2358868.337429132,1083712.7020795587,43571194.70237149,2000,1480616.3409520108
2011,ST,NOx,5007701.96417295,1384915.6135682436,659096.0207709977,23375722.957991842,2000,863212.4353454656
2011,ST,NPOC,5320075.438945744,1491474.8596346588,695000.0565756198,26657858.018105563,2000,934012.8110596599
2011,ST,OP,375068.9593087361,95776.09317271729,23393.456154969397,2643962.379854523,2000,39067.66306097044
2011,ST,Se,462294.55809323955,124522.8080580004,33586.22097523163,3324390.3674274934,2000,53799.224517088
2011,ST,TDS,9507526.981259027,2606143.225651211,1259975.856817895,47164285.97833902,2000,1681507.4134256074
2011,ST,TKN,4849471.251365081,1379489.346474681,651868.9161968499,23195529.521165874,2000,865673.411575319
2011,ST,TN,4380093.867537074,1271088.6574559684,617841.1801338098,21243614.983376324,2000,792110.4196240366
2011,ST,TP,1881076.776311689,518899.38814076653,215684.40801513474,10295810.071413942,2000,315066.09954093903
2011,ST,TSP,433350.9882749164,127937.2254581883,36843.81597254619,2687212.9618972153,2000,58224.822118206794
2011,ST,TSS,971597787.5762553,266980358.12584957,124518504.5658243,5349652532.74737,2000,173094369.69224676
2012,CT,ICP,370587.76702682016,95353.17333485806,26657.82326094416,2325876.1774558136,2000,35060.89861311087
2012,CT,NH4,328891.04763624544,90917.34444423871,24209.859457344526,1980356.0855520351,2000,34429.402241389354
2012,CT,NO2,479857.0786567447,136974.86611242022,45626.71214887358,2823512.8763207197,2000,60839.7139273592
2012,CT,NO3,5938573.940727717,1780499.581166368,760640.7104466894,26936688.34422499,2000,944333.2937179285
2012,CT,NOx,4143715.1753963036,1202407.6954526126,543647.0997651516,17297969.12802049,2000,656823.6794642213
2012,CT,NPOC,4100881.3632550575,1202486.512355864,540335.1658319592,16507051.218732229,2000,674457.6231431313
2012,CT,OP,365230.88860347116,100218.71354477401,28520.012684750876,2304918.2677480076,2000,40630.12647984598
2012,CT,Se,313031.7568217191,85338.76284732818,22897.905768741613,1986471.042413183,2000,31563.56373591008
2012,CT,TDS,8727418.831646817,2509833.4489982016,1185839.53317431,36477105.75345378,2000,1410600.2266749896
2012,CT,TKN,3537528.378091806,1026324.3361427695,447277.18760214985,15138289.024503825,2000,547278.5358580959
2012,CT,TN,2213352.591329964,660066.452672373,293338.1739960854,9717085.879900988,2000,355769.1402940391
2012,CT,TP,1490475.799122182,438861.08774543565,178136.35731532637,7219828.689422788,2000,228235.53966473724
2012,CT,TSP,302791.15527586814,89522.97521091222,25538.201686231194,1889933.9575194088,2000,34297.023971344555
2012,CT,TSS,1029827492.03302,301531924.77614486,132895441.16664435,4119907351.081871,2000,164102848.57171607
2012,MT,ICP,448960.3820221926,104906.54081447251,29660.346378979735,2984296.822191818,2000,40587.049281235515
2012,MT,NH4,396699.84561756515,104862.81160033247,28021.39050368766,2834076.0081728827,2000,39308.52219172867
2012,MT,NO2,696351.321501917,193330.768191907,63805.258325646086,4707900.093460798,2000,88561.28457516605
2012,MT,NO3,8116486.9816084085,2317807.977948281,1037141.402063123,42651329.708598286,2000,1345277.3217408059
2012,MT,NOx,4962637.173540913,1340487.1595520182,619559.5093688964,22977440.015953608,2000,784402.5206446795
2012,MT,NPOC,4832774.478655168,1387239.9235420106,637473.2324105859,22815645.406433094,2000,795567.6113255
2012,MT,OP,556422.1952245004,151658.0870099723,50659.457042823255,3502090.5072401287,2000,68103.83850996294
2012,MT,Se,431610.37663642404,111569.79781672965,31123.38230540617,2841037.1150065465,2000,44803.28973041207
2012,MT,TDS,10436634.89908257,2915647.013978567,1375503.101634066,49211641.6436254,2000,1701915.8748140011
2012,MT,TKN,4010332.9643101534,1132325.2089904072,534372.760589533,20426141.52025043,2000,657783.051637575
2012,MT,TN,2358219.8636219422,691409.3311505544,299487.1631294143,12222800.433323879,2000,386753.7984808569
2012,MT,TP,2062847.2722467822,573363.4078866453,240548.8100133062,10822315.689907094,2000,318137.1547523655
2012,MT,TSP,411976.4614438847,104774.46609943849,28834.896979608988,2655037.819984477,2000,39031.54034361084
2012,MT,TSS,1047751020.0936806,306383341.19224524,144710683.74223715,4722392013.026141,2000,176380110.00976518
2012,ST,ICP,333313.1768155098,93398.42138968238,27300.956540608997,2291020.543543733,2000,34931.1016767238
2012,ST,NH4,335275.6703463096,92011.5729715274,24257.538698489287,2254741.261680072,2000,32752.3488773339
2012,ST,NO2,554210.8150238997,158133.61346713948,52526.77516415284,2971457.8613373335,2000,69223.69647225465
2012,ST,NO3,6775212.213949329,2115343.8743536407,881764.5668817682,29935967.679434597,2000,1092452.5660079562
2012,ST,NOx,4038003.8682670337,1162555.2135549786,525684.7197913534,17778568.900468066,2000,653908.8907360968
2012,ST,NPOC,3996003.95951633,1188115.6684267987,533734.6482344967,18383565.395234607,2000,655121.5239768355
2012,ST,OP,426262.12663037813,130431.09888744868,41241.48430109129,2512550.942468042,2000,54829.48105405478
2012,ST,Se,355752.8184808407,96583.29453270591,27462.35521785195,2436220.3212594762,2000,36175.53590584058
2012,ST,TDS,8599419.35719751,2451658.173928047,1153535.4975514885,37185962.51187641,2000,1398281.8197267132
2012,ST,TKN,3309118.8299139915,978725.6012093798,441877.4365378085,14568325.72147294,2000,536214.104959538
2012,ST,TN,2035313.657085318,608238.5160432709,256723.30018658482,8600774.997504644,2000,321299.49005850015
2012,ST,TP,1562708.9110835209,467395.48778681736,192835.87133278884,7733535.126591234,2000,248812.87218650256
2012,ST,TSP,307281.8548962565,88964.43677715225,25930.674497344517,1757255.7161778277,2000,32441.231479782782
2012,ST,TSS,830939218.6249793,256554722.76113832,119577856.17683834,3383097071.2106647,2000,142192567.89759082
2013,CT,ICP,375142.25204783375,109518.38557042003,29259.346795455316,2305010.706936057,2000,41837.96731095031
2013,CT,NH4,427953.6315684286,115250.57679075802,33146.153874382384,2807188.957166949,2000,45126.39411942639
2013,CT,NO2,492956.09538181964,144264.39038196538,46716.29025995477,3134867.3339852276,2000,63077.299631172435
2013,CT,NO3,8122345.43681068,2339403.6666430244,1177437.7817172436,38077144.669070974,2000,1403576.1334708037
2013,CT,NOx,5550155.194684561,1553623.9787521632,765814.3175760402,24657882.576915607,2000,932532.5943437977
2013,CT,NPOC,5418834.474368217,1577393.0542791514,781838.498147315,22471872.853783436,2000,955558.267956157
2013,CT,OP,438159.976677387,125194.12330864473,39877.34426002609,2837971.577347833,2000,55561.7119400166
