Year,Treatment,Analyte,mean,median,low,high,n_draws
2011,CT,ICP,401263.9727365721,178948.34656503514,869.4245598682153,2014323.5167265376,2000
2011,CT,NO3,7084894.787775633,4870749.614965788,223421.04144124285,26091315.072485365,2000
2011,CT,OP,432980.0776780921,193655.7142643894,834.8986441229653,2182866.504335561,2000
2011,CT,TN,4098328.065015996,2741236.396279869,131040.42835351973,15617430.897027303,2000
2011,CT,TP,1228507.9196297869,748017.440845952,26470.670800008254,5107687.526209452,2000
2011,CT,TSS,1596792973.6514008,1305476829.2612062,135298413.30147356,4440900008.023122,2000
2011,MT,ICP,44242.719477121216,6461.086019836275,0.0,308675.1150350329,2000
2011,MT,NO3,859810.7298486432,391231.9956022175,3487.3881334484904,4274085.6270030355,2000
2011,MT,OP,48416.94756068638,8415.806955305728,0.0,328141.8374702613,2000
2011,MT,TN,528000.2812867982,239141.85640292178,1988.639358646418,2539683.2626239485,2000
2011,MT,TP,133022.83052701227,41017.95694464669,197.63335680870983,764591.5797580604,2000
2011,MT,TSS,216292659.00099966,153965960.52593753,6823377.282327425,771607163.6926975,2000
2011,ST,ICP,91339.0367546276,30199.64310557956,51.99263875448936,506583.9940874749,2000
2011,ST,NO3,1602106.9354486335,934049.2829470576,30524.43535603356,6895091.612913946,2000
2011,ST,OP,87039.10831199464,30259.70843212189,59.69143861135806,465897.83216557733,2000
2011,ST,TN,804480.9570814284,494186.89928769995,11902.71036316485,3205362.025907234,2000
2011,ST,TP,240368.76017799007,110422.70499257592,1748.4272043744768,1179087.6814745863,2000
2011,ST,TSS,341843818.7109043,283969939.0488639,34293900.80869902,964630163.1134883,2000
2012,CT,ICP,159201.56817475017,146700.17644050543,40652.60372953976,348396.9069431349,2000
2012,CT,NO3,2432568.0536915935,2336573.3624256635,1162649.4561178258,4250381.23747638,2000
2012,CT,OP,101878.04492954761,91514.23736772538,16309.614999386846,255560.38134051557,2000
2012,CT,TN,1244582.997535435,1185222.0958718793,516135.0180636338,2323538.4553923276,2000
2012,CT,TP,365905.9463566799,343637.5878024015,119644.62312463306,736941.2551812811,2000
2012,CT,TSS,174689379.76891512,170884485.73854578,87569496.64911339,294872416.97077394,2000
2012,MT,ICP,173270.4980162923,152937.10902992735,32051.41804346981,432523.4836380657,2000
