Year,Treatment,Analyte,mean,median,low,high,n_draws
2011,CT,ICP,413257.8996886331,152297.9578682644,53622.72233879362,2256866.6703123506,2000
2011,CT,NH4,450488.5605980461,210456.82086562767,91761.62948512465,2198085.4363778112,2000
2011,CT,NO2,492315.2956661933,229233.9489411343,100539.14619919778,2348003.9207301484,2000
2011,CT,NO3,3401487.220428454,1695054.0775664984,947521.7029198726,14537036.116659319,2000
2011,CT,NOx,2782194.732398893,1376831.459189409,637634.6003652484,12271000.801664995,2000
2011,CT,NPOC,3008669.1328125666,1442745.1039795796,692987.6909242299,14119819.041855307,2000
2011,CT,OP,374984.80925771553,137775.362160449,49303.27276545612,2142736.4592344635,2000
2011,CT,Se,416932.48849799915,194962.73392473566,86297.84240851803,2027486.9447446445,2000
2011,CT,TDS,6101238.692057963,2999927.9237784324,1462387.0540899537,27565903.143533997,2000
2011,CT,TKN,2539002.7722148616,1302833.4419245739,644293.169166509,11754175.076505024,2000
2011,CT,TN,1846496.8813958238,999420.8852629487,615143.1814442667,8064913.458671186,2000
2011,CT,TP,907905.360348408,481485.5133084138,291434.17318152345,4096818.0027340353,2000
2011,CT,TSP,454281.4391635718,205133.16924901382,87940.70040794645,2427700.7763084467,2000
2011,CT,TSS,747325625.877702,368473601.955107,207678152.0067879,3015868782.9817038,2000
2011,MT,ICP,646961.2607331221,376869.07359224703,79828.72910482067,2628194.529478223,2000
2011,MT,NH4,1078926.0260870138,737692.4389426573,136358.9235029176,3798984.049629173,2000
2011,MT,NO2,1335096.9831821087,914848.4563360796,153494.15371989043,4875090.477915308,2000
2011,MT,NO3,9351748.45676854,7382075.439316211,1293562.0746128904,27991769.833588127,2000
2011,MT,NOx,5859638.778406943,4374472.437267353,800476.0572813853,19115036.52407464,2000
2011,MT,NPOC,6127473.642144427,4442940.625742016,840010.4324176054,19784162.891487826,2000
2011,MT,OP,722688.0064275397,435668.7980063146,76050.3575255537,3070962.9392203656,2000
2011,MT,Se,1117572.2763295926,766459.5781179821,143260.14653857835,4085649.5270719337,2000
2011,MT,TDS,12460346.452842778,9515392.881527305,1742562.312839945,40638146.95199564,2000
2011,MT,TKN,6078549.6449321695,4469279.495275875,855415.6250600966,20429827.06766539,2000
2011,MT,TN,4294640.159803432,2669942.9488008413,827246.5612836791,15986937.70108781,2000
2011,MT,TP,2270599.226053523,1673337.5353727874,316093.4043766334,7108575.479345513,2000
2011,MT,TSP,1075631.783342444,737676.1977132258,144006.28503111008,3808619.1788858515,2000
2011,MT,TSS,1601321960.174221,1228903494.438291,240281396.49422327,4822599189.843822,2000
2011,ST,ICP,182197.64127284882,154567.77576880972,76092.43559979525,519043.2763619074,2000
2011,ST,NH4,368394.2496142046,242729.6524046313,123484.29900825009,1653870.7936389714,2000
2011,ST,NO2,448645.51275039726,263871.6659240144,137987.602107439,2165573.3089320865,2000
2011,ST,NO3,3616599.1343483753,1897993.9148635748,1429398.910952342,16875627.049674805,2000
2011,ST,NOx,2018987.62255043,1311677.9925667096,806241.3979014618,9265467.661997482,2000
2011,ST,NPOC,2101225.8170239446,1410710.339713477,850843.4055384481,9455591.137749527,2000
2011,ST,OP,167257.81033758222,138473.9391754194,72694.25014897595,469586.53650733625,2000
2011,ST,Se,363843.8938356147,232510.69104834457,121388.55089283692,1670801.3453691509,2000
2011,ST,TDS,3695031.8203723426,2480462.0436902707,1574094.4368357593,14166900.795306941,2000
2011,ST,TKN,2211339.9738070806,1312458.4480281728,776373.0461898592,10154422.830625253,2000
2011,ST,TN,1976233.5280158543,1044176.8637295044,733566.3823021789,9339090.158254446,2000
2011,ST,TP,621268.2256692988,462739.69521683274,302593.94752896327,2065583.7629929325,2000
