PhysicalEventID,Year,Treatment,Analyte,Concentration_mg_L,Volume_L,Load_kg,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_distinct_concentration_MeasureMethod,concentration_MeasureMethod_values,n_distinct_concentration_Lab,concentration_Lab_values,n_distinct_concentration_Duplicate,concentration_Duplicate_values,n_volume_prediction_rows,n_volume_observation_ids,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,n_distinct_volume_FlumeMethod,volume_FlumeMethod_values,n_volume_source_rows_before_copy_deduplication,central_estimate_type,concentration_resolution,volume_resolution
PE_01121cfc6bcbe9c320ee,2022,MT,ICP,0.0397260651554808,14196.997788632025,0.0005639908591634126,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NH4,0.041037068567363964,14196.997788632025,0.000582603171702807,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NO2,0.0,14196.997788632025,0.0,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NO3,6.6462211897742876,14196.997788632025,0.09435638753398486,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NOx,1.8874150069570181,14196.997788632025,0.026795626679999685,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,NPOC,2.0635012590134716,14196.997788632025,0.029295522811053656,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,OP,0.1710841097766522,14196.997788632025,0.00242888072816921,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,Se,0.00203122630520582,14196.997788632025,2.8837315363218224e-05,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TDS,2.8023874960024506,14196.997788632025,0.03978548908363683,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TKN,0.16879256676252555,14196.997788632025,0.0023963476970650984,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TN,0.9578648354366288,14196.997788632025,0.013598804950502197,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TP,0.05135594752676057,14196.997788632025,0.000729100273470522,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TSP,0.04116031375167896,14196.997788632025,0.0005843528833119865,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_01121cfc6bcbe9c320ee,2022,MT,TSS,73.46767153511936,14196.997788632025,1.0430203703200336,2,2,1,LC,1,Etape,1,"ALS, Holland, MI",1,False,1,0,0,,0,,0,physical_event_point_total,median,median
PE_013bf97cfac8f24b53cf,2023,ST,ICP,0.28182128755759905,51611.72113374758,0.01454528170297649,4,4,4,GB3 | GBH | ISC | LC,1,Ruler,1,"ALS Houston, TKN subcontracted to ALS Environmental in Holland, MI",1,False,1,1,1,Ruler,1,60 V Trap,56,physical_event_point_total,median,median
