PhysicalEventID,Year,Treatment,Rep,Analyte,Concentration_mg_L,Volume_L,Load_kg,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_distinct_concentration_MeasureMethod,concentration_MeasureMethod_values,n_distinct_concentration_Lab,concentration_Lab_values,n_distinct_concentration_Duplicate,concentration_Duplicate_values,n_volume_prediction_rows,n_volume_observation_ids,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,n_distinct_volume_FlumeMethod,volume_FlumeMethod_values,n_volume_source_rows_before_copy_deduplication,central_estimate_type,concentration_resolution,volume_resolution
PE_003510690d55f2e080ab,2015,CT,2,ICP,0.38482363004633,23723.304550440516,0.009129288173795139,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,NH4,0.24626983623916204,23723.304550440516,0.005842334326688754,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,NO2,0.5450118010330975,23723.304550440516,0.012929480939492265,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,NO3,7.9107693905195084,23723.304550440516,0.187669591479597,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,NOx,2.399446015270022,23723.304550440516,0.05692278857259167,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,NPOC,2.2773812356415553,23723.304550440516,0.05402700863058315,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,OP,0.06329763535974452,23723.304550440516,0.0015016290809619515,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,Se,0.31800729577271625,23723.304550440516,0.007544183926878162,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,TDS,1.2573695753332719,23723.304550440516,0.02982896136808927,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
PE_003510690d55f2e080ab,2015,CT,2,TKN,1.4603260739263904,23723.304550440516,0.034643760194704866,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,physical_event_point_total,median,median
