Target,Year,n,rmse_original_units,nrmse_mean_abs,interval_coverage
Result_mg_L,2011,126.0,310.51169854554763,1.0616319198367172,0.9126984126984127
Result_mg_L,2012,191.0,302.38467165594983,1.2793957014447257,0.8167539267015707
Result_mg_L,2013,90.0,474.5371197370357,2.328158658937956,0.8555555555555555
Result_mg_L,2014,238.0,506.32311201493087,2.7299833973591907,0.8487394957983193
Result_mg_L,2015,397.0,315.70830937794915,3.0821717251828793,0.929471032745592
Result_mg_L,2016,216.0,220.69166756743277,3.2826077536656544,0.9351851851851852
Result_mg_L,2017,324.0,807.9846463720487,2.3244441204355764,0.6203703703703703
Result_mg_L,2020,246.0,155.20142254890416,2.950996627540774,0.9227642276422764
Result_mg_L,2021,539.0,354.9048568626465,2.44673585131836,0.862708719851577
Result_mg_L,2022,577.0,365.4641063581576,4.966882095695183,0.8076256499133448
Result_mg_L,2023,928.0,1242.3509796537867,3.075324981914825,0.8318965517241379
Result_mg_L,2024,646.0,1300.7925152351147,3.0218578979523736,0.8452012383900929
Result_mg_L,2025,1003.0,1496.8224079286308,3.557838137229347,0.8654037886340977
Volume_L,2011,27.0,22332.356204700343,0.9757247310695323,0.48148148148148145
Volume_L,2012,49.0,10769.585058328748,0.9193420089234099,0.7551020408163265
Volume_L,2013,32.0,16165.017946486741,0.7358982966687377,1.0
Volume_L,2014,23.0,22260.92710725192,1.027024584611842,0.8695652173913043
Volume_L,2015,36.0,8552.303403143156,0.6023591141287785,1.0
Volume_L,2016,12.0,24308.906214139915,1.1572592326527738,0.25
Volume_L,2017,36.0,27233.04099121827,1.0405530015710966,0.9722222222222222
Volume_L,2020,9.0,20066.333228993986,0.8823917369478409,1.0
Volume_L,2021,18.0,10727.943069783902,0.8540708065365273,0.7777777777777778
Volume_L,2023,30.0,34830.581481794026,0.8400205615125119,1.0
Volume_L,2024,27.0,51879.98718153028,0.9759070221844223,0.8518518518518519
Volume_L,2025,73.0,33710.38717672271,0.6989862011298402,0.9863013698630136
