Target,Year,n,coverage
Result_mg_L,2011,126,0.8809523809523809
Result_mg_L,2012,191,0.8429319371727748
Result_mg_L,2013,90,0.8666666666666667
Result_mg_L,2014,238,0.865546218487395
Result_mg_L,2015,397,0.9168765743073047
Result_mg_L,2016,216,0.9444444444444444
Result_mg_L,2017,324,0.8117283950617284
Result_mg_L,2020,246,0.9105691056910569
Result_mg_L,2021,539,0.8719851576994434
Result_mg_L,2022,577,0.8093587521663779
Result_mg_L,2023,928,0.8308189655172413
Result_mg_L,2024,646,0.848297213622291
Result_mg_L,2025,1003,0.8215353938185443
Volume_L,2011,27,0.48148148148148145
Volume_L,2012,49,0.7142857142857143
Volume_L,2013,32,1.0
Volume_L,2014,23,0.8260869565217391
Volume_L,2015,36,1.0
Volume_L,2016,12,0.4166666666666667
Volume_L,2017,36,0.9166666666666666
Volume_L,2020,9,1.0
Volume_L,2021,18,0.8333333333333334
Volume_L,2023,30,1.0
Volume_L,2024,27,0.6666666666666666
Volume_L,2025,73,0.9863013698630136
