Year_Test,Target,n_test,MAE,RMSE,R2,q_conformal,coverage,mean_interval_width_log,n_calibration,mode,calibration
2011,logC,126,0.322262216240445,0.4677819765180263,0.9704354241061214,0.7567974753739106,0.8809523809523809,1.513594950747822,1383,reconstruction,physical-event
2012,logC,191,0.3935509811615788,0.5385632645837004,0.9577609866171216,0.7882074107069936,0.8429319371727748,1.5764148214139868,1359,reconstruction,physical-event
2013,logC,90,0.42320288712443016,0.6351543147386333,0.9245862239029051,0.8321822934212117,0.8666666666666667,1.6643645868424237,1418,reconstruction,physical-event
2014,logC,238,0.4680121547183778,0.765683514053556,0.8849083572661789,0.798096929045987,0.865546218487395,1.5961938580919734,1391,reconstruction,physical-event
2015,logC,397,0.3705679002528389,0.7105127781387803,0.8713265316613868,0.9406843351424898,0.9168765743073047,1.8813686702849792,1383,reconstruction,physical-event
2016,logC,216,0.36947487610369506,0.52617855362705,0.9221097093347687,0.9029310049747021,0.9444444444444444,1.805862009949404,1240,reconstruction,physical-event
2017,logC,324,0.7455589912811209,0.8283380307707486,0.905625825798554,0.8597904690241558,0.8117283950617284,1.7195809380483118,1299,reconstruction,physical-event
2020,logC,246,0.2756730578082055,0.43339291879829317,0.9457445351566409,0.8483466031952522,0.9105691056910569,1.696693206390505,1451,reconstruction,physical-event
2021,logC,539,0.32863089363040543,0.5468771332292782,0.9401889357830399,0.9000418232962524,0.8719851576994434,1.8000836465925045,1321,reconstruction,physical-event
2022,logC,577,0.4700819963989887,0.7172527251128442,0.8600893697382108,0.7889044504610814,0.8093587521663779,1.5778089009221627,1113,reconstruction,physical-event
2023,logC,928,0.5536943412434007,0.7884414310425231,0.9255433161082707,0.9066788933140882,0.8308189655172413,1.8133577866281765,997,reconstruction,physical-event
2024,logC,646,0.47672487569439853,0.6597248815137394,0.949230262950573,0.9947135014916366,0.848297213622291,1.9894270029832732,1233,reconstruction,physical-event
2025,logC,1003,0.5617505904186691,0.8416032297464464,0.9165819310480978,0.9191327594888353,0.8215353938185443,1.838265518977671,1152,reconstruction,physical-event
2011,logV,27,1.9930033737204849,2.3361201299929317,-11.905584649496298,2.283112673846576,0.48148148148148145,4.566225347693152,88,reconstruction,physical-event
2012,logV,49,2.3436387616568184,4.219982795743162,-0.2147413664535769,1.4711640477254049,0.7142857142857143,2.9423280954508106,81,reconstruction,physical-event
2013,logV,32,0.7256882099402377,0.8326236253824025,-0.2514284169159111,2.143538212908105,1.0,4.28707642581621,83,reconstruction,physical-event
2014,logV,23,1.5008417258616407,2.863725525447855,-0.0039806108550966,1.740796863755973,0.8260869565217391,3.481593727511947,90,reconstruction,physical-event
2015,logV,36,0.5496213034388719,0.7669985039111507,0.15157768800705607,2.401662973549671,1.0,4.803325947099343,85,reconstruction,physical-event
2016,logV,12,1.651851924487807,1.929443230641181,-2.5235318476963178,1.5893674473843742,0.4166666666666667,3.1787348947687484,93,reconstruction,physical-event
2017,logV,36,0.847148350109395,1.0797122552669576,0.18071619340439293,2.1176914849038235,0.9166666666666666,4.235382969807649,85,reconstruction,physical-event
2020,logV,9,0.8352992379256338,1.0469117525575677,-0.09115215331874404,2.316033215637523,1.0,4.632066431275046,93,reconstruction,physical-event
2021,logV,18,0.8954348614847842,1.2629542093491044,-0.5360020255755038,1.9165593462446235,0.8333333333333334,3.8331186924892475,93,reconstruction,physical-event
2023,logV,30,1.3148655810399594,1.4182453522437621,-8.916052897091182,3.65226066068936,1.0,7.304521321378721,88,reconstruction,physical-event
2024,logV,27,1.7686807928871877,1.8497576793062789,-11.67241610627572,2.027254838951573,0.6666666666666666,4.0545096779031455,84,reconstruction,physical-event
2025,logV,73,1.0372913075747816,1.1903189334032813,-0.9590871130695533,2.8780765383817837,0.9863013698630136,5.756153076763567,76,reconstruction,physical-event
