PhysicalEventID,Year,Treatment,Rep,Analyte,Concentration_mg_L,Volume_L,Load_kg,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_volume_prediction_rows,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,central_estimate_type,concentration_resolution,volume_resolution
PE_1959bad48333cbb7ac20,2011,MT,1,TSS,596.6612993646204,2800.654840516119,1.6710423562141612,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_23fdec9b5d2f5aa45a05,2011,ST,1,TSS,525.4985380277433,4896.189344578001,2.572940342482754,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2aaba42888d07cb12d22,2011,MT,2,ICP,0.076354776118363,928.925982442354,7.092793541991634e-05,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2aaba42888d07cb12d22,2011,MT,2,NO3,9.138622324502162,928.925982442354,0.008489103720957798,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2aaba42888d07cb12d22,2011,MT,2,OP,0.097503995786958,928.925982442354,9.05739950784551e-05,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2aaba42888d07cb12d22,2011,MT,2,TN,3.709107314831871,928.925982442354,0.0034454861564143175,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2aaba42888d07cb12d22,2011,MT,2,TP,0.7500749507770827,928.925982442354,0.000696764110556002,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_2aaba42888d07cb12d22,2011,MT,2,TSS,636.2993687632354,928.925982442354,0.5910750162558381,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_32e6a0947406c0450241,2011,ST,2,TSS,543.5894026490292,3439.6510629312265,1.8697578666198837,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_35e13c2714d6ea95f5d3,2011,CT,1,ICP,0.03100977195022811,13604.15089038342,0.00042186161668728256,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_35e13c2714d6ea95f5d3,2011,CT,1,NO3,8.441948177226474,13604.15089038342,0.11484553681178622,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_35e13c2714d6ea95f5d3,2011,CT,1,OP,0.06853278529866584,13604.15089038342,0.0009323303521413006,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_35e13c2714d6ea95f5d3,2011,CT,1,TN,3.5897885140896593,13604.15089038342,0.04883602461024101,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_35e13c2714d6ea95f5d3,2011,CT,1,TP,0.8591488438511707,13604.15089038342,0.01168799050904979,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_35e13c2714d6ea95f5d3,2011,CT,1,TSS,866.5733002927844,13604.15089038342,11.788993934760581,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_3da987b4bbd059aa3b87,2011,CT,2,TSS,874.9432239574325,18551.413144964932,16.23143322602191,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_478d3c0884b4f50a8523,2011,CT,2,TSS,921.9425220890575,19420.10918500394,17.904224441267406,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_57effa7ea94a4868513b,2011,CT,2,ICP,0.015672306231517504,5736.391793094519,8.99024888453411e-05,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57effa7ea94a4868513b,2011,CT,2,NO3,7.5375977180799865,5736.391793094519,0.043238613689642005,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57effa7ea94a4868513b,2011,CT,2,OP,0.14584567076103724,5736.391793094519,0.0008366279088119793,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57effa7ea94a4868513b,2011,CT,2,TN,2.3932793617948964,5736.391793094519,0.01372878808958273,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57effa7ea94a4868513b,2011,CT,2,TP,1.0312689427223853,5736.391793094519,0.005915762699505953,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_57effa7ea94a4868513b,2011,CT,2,TSS,894.9031347682417,5736.391793094519,5.1335149978991,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_60f1a6212ff620019a30,2011,MT,1,ICP,0.020127860614642317,2905.5604151733255,5.8482715044030964e-05,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_60f1a6212ff620019a30,2011,MT,1,NO3,8.479468472933968,2905.5604151733255,0.024637607936667145,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_60f1a6212ff620019a30,2011,MT,1,OP,0.018596095923584,2905.5604151733255,5.403208019233172e-05,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_60f1a6212ff620019a30,2011,MT,1,TN,4.331515400636171,2905.5604151733255,0.012585479685802085,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_60f1a6212ff620019a30,2011,MT,1,TP,0.8052672808705932,2905.5604151733255,0.002339752734931856,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_60f1a6212ff620019a30,2011,MT,1,TSS,410.908979948264,2905.5604151733255,1.1939208663769256,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_63934b6278a65a8216b9,2011,MT,1,ICP,0.11220632413755643,2000.3147707070236,0.0002244479675390942,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_63934b6278a65a8216b9,2011,MT,1,NO3,9.002310190522007,2000.3147707070236,0.018007454044587527,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_63934b6278a65a8216b9,2011,MT,1,OP,0.09535019609132186,2000.3147707070236,0.00019073040563128224,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_63934b6278a65a8216b9,2011,MT,1,TN,3.67779125924162,2000.3147707070236,0.0073567401794381974,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_63934b6278a65a8216b9,2011,MT,1,TP,0.740193600815017,2000.3147707070236,0.0014806201928930969,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_63934b6278a65a8216b9,2011,MT,1,TSS,565.9081676322621,2000.3147707070236,1.1319944665785602,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_74d2b6cff9d0f8aad3cb,2011,ST,2,TSS,500.1050631421641,3673.422938141941,1.8370974104273494,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_7ab5d22c48132f848099,2011,CT,2,ICP,0.06181677875462324,9120.450577032594,0.0005637968754628997,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_7ab5d22c48132f848099,2011,CT,2,NO3,8.835938074181724,9120.450577032594,0.08058773650729498,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_7ab5d22c48132f848099,2011,CT,2,OP,0.11961926015573263,9120.450577032594,0.0010909815503115634,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_7ab5d22c48132f848099,2011,CT,2,TN,5.60629908440342,9120.450577032594,0.051131973719364475,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_7ab5d22c48132f848099,2011,CT,2,TP,1.1499770085956298,9120.450577032594,0.010488308471620229,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_7ab5d22c48132f848099,2011,CT,2,TSS,734.1085908936363,9120.450577032594,6.69540112142045,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_8372856d847ab29e3d55,2011,CT,1,ICP,0.04063256424145994,8096.4326588474905,0.00032897882013727494,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_8372856d847ab29e3d55,2011,CT,1,NO3,8.506798220458498,8096.4326588474905,0.0688747189343459,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_8372856d847ab29e3d55,2011,CT,1,OP,0.10031795845466632,8096.4326588474905,0.0008122175951012661,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_8372856d847ab29e3d55,2011,CT,1,TN,5.008725993352534,8096.4326588474905,0.040552812711797795,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_8372856d847ab29e3d55,2011,CT,1,TP,1.0522924269834615,8096.4326588474905,0.008519814772486785,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_8372856d847ab29e3d55,2011,CT,1,TSS,692.2036849708427,8096.4326588474905,5.60438052157251,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_8822e7617a2395f5da78,2011,MT,2,TSS,609.8352744820264,3126.983728705639,1.906944980496034,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_95d3b43c79b8bf669652,2011,ST,2,ICP,0.07070187504717454,1439.140239825808,0.00010174991341152509,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_95d3b43c79b8bf669652,2011,ST,2,NO3,9.526605847781179,1439.140239825808,0.013710121824501752,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_95d3b43c79b8bf669652,2011,ST,2,OP,0.106768178141187,1439.140239825808,0.00015365438149587247,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_95d3b43c79b8bf669652,2011,ST,2,TN,3.759413297289009,1439.140239825808,0.005410322954264836,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_95d3b43c79b8bf669652,2011,ST,2,TP,0.8069544479042572,1439.140239825808,0.0011613206176854353,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_95d3b43c79b8bf669652,2011,ST,2,TSS,662.7445598054823,1439.140239825808,0.9537823647417113,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9b06b2640ba03d9fa7c4,2011,CT,1,ICP,0.0,16645.22330936446,0.0,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9b06b2640ba03d9fa7c4,2011,CT,1,NO3,7.32590331888926,16645.22330936446,0.12194129668572598,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9b06b2640ba03d9fa7c4,2011,CT,1,OP,0.0,16645.22330936446,0.0,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9b06b2640ba03d9fa7c4,2011,CT,1,TN,1.9391367079686002,16645.22330936446,0.03227736353152321,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9b06b2640ba03d9fa7c4,2011,CT,1,TP,0.7337782537964457,16645.22330936446,0.012213902893997349,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9b06b2640ba03d9fa7c4,2011,CT,1,TSS,903.1399633804197,16645.22330936446,15.032966370078327,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9e155a06de6d2a36ed95,2011,CT,2,ICP,0.0,7467.492382581851,0.0,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9e155a06de6d2a36ed95,2011,CT,2,NO3,8.379901495539295,7467.492382581851,0.06257685058472595,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9e155a06de6d2a36ed95,2011,CT,2,OP,0.054040360554460605,7467.492382581851,0.0004035459807924113,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9e155a06de6d2a36ed95,2011,CT,2,TN,3.534705437838671,7467.492382581851,0.026395385931730922,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9e155a06de6d2a36ed95,2011,CT,2,TP,0.8282772599713482,7467.492382581851,0.00618515412950181,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_9e155a06de6d2a36ed95,2011,CT,2,TSS,894.0937168556571,7467.492382581851,6.676638019933915,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_af262f79aa0ed033156d,2011,MT,2,TSS,566.4214245742222,2675.205686925097,1.515293816217174,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_b29e09cdb7f952a1cdb0,2011,ST,1,ICP,0.0898763586575517,2145.258227037338,0.0001928079978262713,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_b29e09cdb7f952a1cdb0,2011,ST,1,NO3,7.892100592575996,2145.258227037338,0.01693059372482991,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_b29e09cdb7f952a1cdb0,2011,ST,1,OP,0.049788324346786164,2145.258227037338,0.00010680881241534642,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_b29e09cdb7f952a1cdb0,2011,ST,1,TN,5.124152796509797,2145.258227037338,0.010992630943309026,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_b29e09cdb7f952a1cdb0,2011,ST,1,TP,1.0927949521145246,2145.258227037338,0.002344327361488558,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_b29e09cdb7f952a1cdb0,2011,ST,1,TSS,370.2978783468078,2145.258227037338,0.7943845699779609,1,1,1,GBW,1,1,Ruler,physical_event_point_total,median,median
PE_bbf4e95c02e1591047b4,2011,ST,1,ICP,0.043562212767619575,4792.052773795326,0.00020875242252573354,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_bbf4e95c02e1591047b4,2011,ST,1,NO3,7.720646731850691,4792.052773795326,0.03699774658685892,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_bbf4e95c02e1591047b4,2011,ST,1,OP,0.020306229566422678,4792.052773795326,9.730852371910046e-05,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_bbf4e95c02e1591047b4,2011,ST,1,TN,2.1095098895949596,4792.052773795326,0.010108882717782198,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_bbf4e95c02e1591047b4,2011,ST,1,TP,0.6722812667879907,4792.052773795326,0.0032216073092820267,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_bbf4e95c02e1591047b4,2011,ST,1,TSS,582.2184548838829,4792.052773795326,2.79002156168114,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
PE_c33b54f99c0ede44173e,2011,CT,1,TSS,794.2179837543316,14885.932946457622,11.822675651037748,1,1,1,GBW,1,1,Transducer,physical_event_point_total,median,median
