feature,importance_mean,importance_sd
DaysSincePlant,22.007355074793704,11.399313444806667
DayOfYear,15.255883044470849,7.400148170288084
CumAll_STIR_toDate,7.996585666519555,3.568610567591262
MeasureMethod,7.907490904506641,1.6688915355473959
Inflow_Volume,7.789658052453919,2.621554192089673
FlumeMethod,6.710751405088394,1.9906054799943498
Irrigation,4.4489407083199515,2.272084418038304
previous_crop,4.230853463298072,1.1446181732975018
Crop,4.173003933149197,1.8163092806934344
Treatment,4.159848355293765,1.5346237509146108
Season_STIR_toDate,3.8711966166033105,1.7172601885824839
residue_prop,2.2461953140964677,1.760643011243663
SeasonYear,2.106066200608143,1.2976938412886214
Residue_DryMass_kg_m2,1.9540436797398169,0.5265169897532466
IrrMethod,1.78631287992212,2.8680218130225783
Year,1.73090062071737,1.0219405595697022
Rep,1.2724644858673486,0.8667380230062002
FurrowTireCompaction,0.35244959455137354,0.47858713595046193
