PhysicalEventID,Year,Treatment,Rep,Analyte,n_concentration_prediction_rows,n_concentration_observation_ids,n_distinct_concentration_SampleMethod,concentration_SampleMethod_values,n_distinct_concentration_MeasureMethod,concentration_MeasureMethod_values,n_distinct_concentration_Lab,concentration_Lab_values,n_distinct_concentration_Duplicate,concentration_Duplicate_values,n_volume_prediction_rows,n_volume_observation_ids,n_distinct_volume_MeasureMethod,volume_MeasureMethod_values,n_distinct_volume_FlumeMethod,volume_FlumeMethod_values,n_volume_source_rows_before_copy_deduplication,concentration_resolution,volume_resolution
PE_003510690d55f2e080ab,2015,CT,2,ICP,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,NH4,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,NO2,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,NO3,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,NOx,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,NPOC,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,OP,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,Se,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,TDS,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,TKN,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,TN,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
PE_003510690d55f2e080ab,2015,CT,2,TP,2,2,1,ISC,1,Bubbler,1,"NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",1,False,1,1,1,Bubbler,1,7 V,28.0,median,median
